店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
寵曖貓狗生活館-寵物貓狗美容造型 寵物旅館住宿安親接送 SPA按摩 基礎深層美容清潔推薦,40041台灣台中市中區民族路223號,04 2221 9988,https://www.instagram.com/chongai_pet/,5,1870,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,台中市,中區
有好犬旅 UHOUSE 寵物旅館｜美容｜安親（全預約制）,403台灣台中市西區博館路213號2樓,,https://m.facebook.com/UHOUSE.DOG/,4.9,81,星期一: 09:01 – 20:50 | 星期二: 09:01 – 20:50 | 星期三: 09:01 – 20:50 | 星期四: 09:01 – 18:50 | 星期五: 09:01 – 20:50 | 星期六: 09:01 – 20:50 | 星期日: 09:01 – 20:50,台中市,中區
毛五木寵物計畫 - 寵物美容安親住宿,403台灣台中市西區臺灣大道二段222號3F&4F號,04 2328 5222,https://lin.ee/aLPW00p,4.8,200,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,台中市,中區
咪喜micy,406台灣台中市北屯區北華街119號,0937 206 805,https://www.micymicy.com/,4.9,42,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,台中市,中區
妙主人寵物生活館,404台灣台中市北區三民路三段103號,04 2221 8969,https://www.facebook.com/Petservice885/?ref=bookmarks,4.8,196,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,台中市,中區
尊毛屋寵物美容行旅,404台灣台中市北區益華街138號,0958 939 136,https://www.facebook.com/zmw138,4.9,223,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,台中市,中區
DIER貓咪住宿,412台灣台中市大里區中興路二段817號,04 2483 3606,,5,52,星期一: 13:00 – 22:00 | 星期二: 13:00 – 22:00 | 星期三: 13:00 – 22:00 | 星期四: 13:00 – 22:00 | 星期五: 13:00 – 22:00 | 星期六: 13:00 – 22:00 | 星期日: 13:00 – 22:00,台中市,中區
以為有貓eWayCats貓住宿•寵物用品,401台灣台中市東區樂業二路80號,0912 139 268,https://www.ewaycats.com/,5,185,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,台中市,中區
醬棒貓旅工作室,403台灣台中市西區自由路ㄧ段28-5號2樓之2,0919 828 148,https://www.facebook.com/jbcat2020520?mibextid=LQQJ4d,5,42,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 17:00,台中市,中區
呼嚕俱樂部 HULU CLUB/台中貓旅館/台中貓住宿/台中寵物旅館/寵物用品/貓舍,403台灣台中市西區臺灣大道二段311巷1弄30號,0908 002 188,https://line.me/R/ti/p/@113lqgeu,5,80,星期一: 12:00 – 18:00 | 星期二: 00:00 – 18:00 | 星期三: 12:00 – 18:00 | 星期四: 12:00 – 18:00 | 星期五: 12:00 – 18:00 | 星期六: 12:00 – 18:00 | 星期日: 12:00 – 18:00,台中市,中區
