店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
台北專業貓咪保姆KIKI/到府照護/陪狗狗散步/到府美容洗澡/寵物旅館/寵物寄宿/毛小愛APP,100台灣台北市中正區林森北路9巷5號,0908 708 372,,4.9,29,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,台北市,中正區
吃手手寵物精品旅館The Paw Pet Hotel,100台灣台北市中正區濟南路二段35-1號1樓,02 2322 2020,https://thepaw.com.tw/,4.9,87,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,台北市,中正區
WSPA寵物旅館,100台灣台北市中正区罗斯福路三段139號1F,02 2367 5899,https://www.facebook.com/profile.php?id=100087392181167,4.5,124,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,台北市,中正區
就甘心Ponpon寵物旅館,10491台灣台北市中山區新生北路二段60巷16號4樓,02 2568 2751,https://www.facebook.com/Ponpon.Pet.hotel/,5,380,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,台北市,中正區
GROOMER YAYA 寵物美容住宿生活館,100台灣台北市中正區和平西路二段64號,,https://www.instagram.com/groomer_yaya/,4.9,45,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,台北市,中正區
北歐寵物旅館,106台灣台北市大安區新生南路二段60-1號,02 2322 4358,http://www.nph.com.tw/,4.7,385,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,台北市,中正區
宿喜貓旅,100台灣台北市中正區南昌路二段206號2F-3,0937 858 529,,5,35,,台北市,中正區
24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,103台灣台北市大同區五原路19號,,,5,12,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,台北市,中正區
喵汪美安宿-吉林休閒館 犬貓寵物美容 | 安親住宿 | 溫水舒緩泳池 國寶寵物,10491台灣台北市中山區吉林路178號,02 2531 9089,,4.9,94,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,台北市,中正區
24h陪同就醫/寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛,104台灣台北市中山區新生北路三段26號,0908 708 372,https://lin.ee/XQ3cli4,5,12,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,台北市,中正區
宅貓旅館🥰中山館,10469台灣台北市中山區民生東路二段3號,02 2521 8488,http://www.cat-hotel.com.tw/,5,271,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,台北市,中正區
爪子精緻寵物沙龍,10491台灣台北市中山區長春路3巷11弄3號,02 2567 2581,https://lobtt1967.wixsite.com/petsalon,4.9,69,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,台北市,中正區
逗格寵物旅館DogoHotel,10491台灣台北市中山區雙城街49巷9-6號1樓,02 2586 7771,,5,139,星期一: 08:00 – 19:30 | 星期二: 08:00 – 19:30 | 星期三: 08:00 – 19:30 | 星期四: 08:00 – 19:30 | 星期五: 08:00 – 19:30 | 星期六: 08:00 – 20:00 | 星期日: 08:00 – 20:00,台北市,中正區
雪堡寵物美容,100台灣台北市中正區濟南路二段24號,02 2397 3445,,4.8,41,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 休息,台北市,中正區
城市貓旅 City Cat 貓旅館/純貓美容,103台灣台北市大同區長安西路254號2樓,02 2552 7056,http://www.cathotel.tw/,4.8,256,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,台北市,中正區
