店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
壞壞狗寵物旅館∣MND ∣台南．大空間狗狗旅館．住宿．安親托顧,704台灣台南市北區成功路382-1號,06 222 2083,http://badbaddogs.looker.tw/,4.4,123,星期一: 10:00 – 18:30 | 星期二: 休息 | 星期三: 10:00 – 18:30 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 10:00 – 18:30,台南市,中西區
PUPPY IDOL 帕彼愛逗寵物精品時尚旅館,701台灣台南市東區東門路二段240號,06 260 0668,,4.7,126,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,台南市,中西區
美力生寵物生活館,700台灣台南市中西區大同路一段62號,0983 613 997,https://www.facebook.com/dog1209/,4.8,94,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,台南市,中西區
護寵者聯萌 寵物美容|寵物旅館|台南寵物店|台南寵物住宿|台南寵物美容|狗狗洗澡|狗狗住宿|貓咪洗澡|貓咪住宿|皮毛護理專家|寵物店|寵物沙龍｜愛犬寄宿｜愛犬安親,70247台灣台南市南區三官路177號,0968 591 843,https://m.facebook.com/Masoloveari/,4.9,76,星期一: 休息 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,台南市,中西區
史溫托爾寵物旅館,701台灣台南市安平區永華路二段660號708,06 299 3038,,4.8,67,星期一: 11:00 – 19:30 | 星期二: 休息 | 星期三: 11:00 – 19:30 | 星期四: 11:00 – 18:00 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 11:00 – 19:30,台南市,中西區
狗宿喜正向低壓寵物旅館(全預約制),702台灣台南市南區南門路341-4號,0935 054 878,https://www.instagram.com/dogscomfortzone?igsh=M2JsN2lhamd4MTR6,5,70,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,台南市,中西區
啾咪Jumi寵物美容/毛小孩旅館,701台灣台南市東區前鋒路52號,0936 573 866,https://www.facebook.com/jumi2082385/,4.9,115,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 休息,台南市,中西區
四季逗 Seasons Dog 寵物旅館（不定時公休，預約制）,701台灣台南市東區東平路142號,0906 148 899,https://www.facebook.com/seasonsdog/,5,29,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 11:00 – 18:00 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 11:00 – 18:00,台南市,中西區
小尾巴客棧｜寵物精品旅館-台南安平寵物零食|寵物旅館推薦|寵物住宿|寵物到府服務|寵物美容|寵物安親|寵物寄宿|寵物保母,708台灣台南市安平區慶平路689號2樓,0922 788 898,https://www.instagram.com/tainan.little.tail/,5,28,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,台南市,中西區
都在貓咪旅館 | 擼貓咖啡廳 | 台南貓咖 | 貓咪販售 | 貓咪美容,700台灣台南市中西區民族路三段218號3樓,0908 393 057,https://lin.ee/EPoWWN2,4.9,6386,星期一: 12:00 – 19:30 | 星期二: 休息 | 星期三: 12:00 – 19:30 | 星期四: 12:00 – 19:30 | 星期五: 12:00 – 19:30 | 星期六: 12:00 – 19:30 | 星期日: 12:00 – 19:30,台南市,中西區
貝果貝果日韓寵物精品旅館 - 附設溫水游泳池,700台灣台南市中西区南门路159號159-1號,06 214 5122,https://www.bagel-bagel.com/,4.4,200,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,台南市,中西區
貓宅一生 貓旅館,702台灣台南市南區新興路160號,0981 942 636,https://www.facebook.com/hoteldecat.tainan/,4.7,125,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,台南市,中西區
Dodoyo | 狗狗有寵物生活旅館,70246台灣台南市南區福吉二街40號,06 222 5191,,5,23,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,台南市,中西區
Pet's Whisper 寵物私語,708台灣台南市安平區健康二街531號,06 295 0821,,4.9,37,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,台南市,中西區
樂狗堡寵物旅館,702台灣台南市南區金華路二段57巷10號,06 261 5678,https://www.facebook.com/HDC.pethotel,5,10,星期一: 10:00 – 19:00 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,台南市,中西區
