店名,網站,地址,電話,營業時間,評分,評分數量,城市,區域,接受狗,接受貓,接受小型犬,接受中型犬,接受大型犬,接受兔子,接受倉鼠,接受鳥類,接受爬蟲類,接受其他小動物,支援寵物類型
台北專業貓咪保姆KIKI/到府照護/陪狗狗散步/到府美容洗澡/寵物旅館/寵物寄宿/毛小愛APP,,100台灣台北市中正區林森北路9巷5號,0908 708 372,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4.9,29.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
吃手手寵物精品旅館The Paw Pet Hotel,https://thepaw.com.tw/,100台灣台北市中正區濟南路二段35-1號1樓,02 2322 2020,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.9,87.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
喵汪美安宿-吉林休閒館 犬貓寵物美容 | 安親住宿 | 溫水舒緩泳池 國寶寵物,,10491台灣台北市中山區吉林路178號,02 2531 9089,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,4.9,94.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
宿喜貓旅,,100台灣台北市中正區南昌路二段206號2F-3,0937 858 529,,5.0,35.0,台北市,中正區,False,True,False,False,False,False,False,False,False,False,貓
就甘心Ponpon寵物旅館,https://www.facebook.com/Ponpon.Pet.hotel/,10491台灣台北市中山區新生北路二段60巷16號4樓,02 2568 2751,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5.0,380.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
24h寵物寄宿/過年有空/到府美容/到府獸醫/到府照護/貓狗保姆/寵物旅館/毛小愛下單保障雙方,,103台灣台北市大同區五原路19號,,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5.0,12.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
WSPA寵物旅館,https://www.facebook.com/profile.php?id=100087392181167,100台灣台北市中正区罗斯福路三段139號1F,02 2367 5899,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.5,124.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
逗格寵物旅館DogoHotel,,10491台灣台北市中山區雙城街49巷9-6號1樓,02 2586 7771,星期一: 08:00 – 19:30 | 星期二: 08:00 – 19:30 | 星期三: 08:00 – 19:30 | 星期四: 08:00 – 19:30 | 星期五: 08:00 – 19:30 | 星期六: 08:00 – 20:00 | 星期日: 08:00 – 20:00,5.0,139.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
北歐寵物旅館,http://www.nph.com.tw/,106台灣台北市大安區新生南路二段60-1號,02 2322 4358,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.7,385.0,台北市,中正區,True,True,True,True,True,False,False,False,False,False,小型犬、中型犬、大型犬、貓
GROOMER YAYA 寵物美容住宿生活館,https://www.instagram.com/groomer_yaya/,100台灣台北市中正區和平西路二段64號,,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.9,45.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
