店名,網站,地址,電話,營業時間,評分,評分數量,城市,區域,接受狗,接受貓,接受小型犬,接受中型犬,接受大型犬,接受兔子,接受倉鼠,接受鳥類,接受爬蟲類,接受其他小動物,支援寵物類型
吃手手寵物精品旅館The Paw Pet Hotel,https://thepaw.com.tw/,100台灣台北市中正區濟南路二段35-1號1樓,02 2322 2020,星期一: 08:00 – 22:00 | 星期二: 08:00 – 22:00 | 星期三: 08:00 – 22:00 | 星期四: 08:00 – 22:00 | 星期五: 08:00 – 22:00 | 星期六: 08:00 – 22:00 | 星期日: 08:00 – 22:00,4.9,87.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
就甘心Ponpon寵物旅館,https://www.facebook.com/Ponpon.Pet.hotel/,10491台灣台北市中山區新生北路二段60巷16號4樓,02 2568 2751,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5.0,380.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
WSPA寵物旅館,https://www.facebook.com/profile.php?id=100087392181167,100台灣台北市中正区罗斯福路三段139號1F,02 2367 5899,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.5,124.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
逗格寵物旅館DogoHotel,,10491台灣台北市中山區雙城街49巷9-6號1樓,02 2586 7771,星期一: 08:00 – 19:30 | 星期二: 08:00 – 19:30 | 星期三: 08:00 – 19:30 | 星期四: 08:00 – 19:30 | 星期五: 08:00 – 19:30 | 星期六: 08:00 – 20:00 | 星期日: 08:00 – 20:00,5.0,139.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
GROOMER YAYA 寵物美容住宿生活館,https://www.instagram.com/groomer_yaya/,100台灣台北市中正區和平西路二段64號,,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,4.9,45.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
Very旺寵物旅館 VW pet hotel,https://lin.ee/IPzXtzT,105台灣台北市松山區八德路二段429號2樓,02 2741 2777,星期一: 08:30 – 20:00 | 星期二: 08:30 – 20:00 | 星期三: 08:30 – 20:00 | 星期四: 08:30 – 20:00 | 星期五: 08:30 – 20:00 | 星期六: 08:30 – 20:00 | 星期日: 08:30 – 20:00,4.4,309.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
家裡寵物旅館-幼幼館,https://www.facebook.com/homedoghotel195,"1樓, No. 195號長安東路二段中山區台北市台灣 10490",02 2731 9200,"星期一: 10:00 – 12:00, 13:30 – 20:00 | 星期二: 10:00 – 12:00, 13:30 – 20:00 | 星期三: 10:00 – 12:00, 13:30 – 20:00 | 星期四: 10:00 – 12:00, 13:30 – 20:00 | 星期五: 10:00 – 12:00, 13:30 – 20:00 | 星期六: 10:00 – 12:00, 13:30 – 20:00 | 星期日: 10:00 – 12:00, 13:30 – 20:00",4.9,121.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
毛毛窩寵物精品旅館,,116台灣台北市文山區景隆街48號,,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,4.6,108.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
啪啾寵物旅館Pet-Chi Doggy Hotel,https://www.facebook.com/LovePetChi,234台灣新北市永和區永貞路53號1,02 2928 2951,星期一: 休息 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,4.8,24.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
毛旅 寵物旅館,https://m.facebook.com/furtrips/,10491台灣台北市中山區長安東路二段232號,02 2721 3091,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,5.0,15.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
寵蝦咪寵物美容住宿Chongshopme-文山店,https://www.facebook.com/profile.php?id=61551489593108&mibextid=2JQ9oc,116台灣台北市文山區興隆路一段261號,02 2933 1890,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,4.9,70.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
茶比寵物旅館 〔 中和寵物住宿 〕,https://www.facebook.com/chubbypethotel?mibextid=LQQJ4d,235台灣新北市中和區景平路559號,02 8245 2232,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,4.9,81.0,台北市,中正區,False,False,False,False,False,False,False,False,False,False,未明確說明
