店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
跑跑跳寵物旅館&寵物美容沙龍&高雄寵物旅館&楠梓寵物旅館,811台灣高雄市楠梓區東昌街23號,0912 722 022,https://lin.ee/bELPdiM,4.8,63,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 16:30,高雄市,楠梓區
LaiDua寵物美容＆寵物住宿（安親、貓咪寄宿、高雄寵物住宿）,811台灣高雄市楠梓區土庫一路10號,0971 757 031,https://www.facebook.com/laiduapetspahotel,4.9,50,星期一: 11:00 – 18:30 | 星期二: 11:00 – 18:30 | 星期三: 11:00 – 18:30 | 星期四: 11:00 – 18:30 | 星期五: 11:00 – 18:30 | 星期六: 11:00 – 18:30 | 星期日: 11:00 – 18:30,高雄市,楠梓區
丹鄰寵物沙龍坊｜毛孩沙龍｜汪喵旅館｜訂房採預約制｜寵物旅館｜寵物美容,811台灣高雄市楠梓區樂群路198號,0908 548 888,https://www.facebook.com/profile.php?id=61555062695941,5,88,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 17:00,高雄市,楠梓區
撼寶寶寵物新生活館/楠梓狗安親住宿&貓住宿/低壓住宿,811台灣高雄市楠梓區樂群路259號,0928 931 183,https://www.facebook.com/Darlinghanhan,4.9,13,星期一: 15:00 – 19:00 | 星期二: 15:00 – 19:00 | 星期三: 15:00 – 19:00 | 星期四: 15:00 – 19:00 | 星期五: 15:00 – 19:00 | 星期六: 休息 | 星期日: 休息,高雄市,楠梓區
貝貝窩寵物沙龍/狗貓住宿/spa（楠梓）,811台灣高雄市楠梓區大學二十一路237巷6號,07 364 7667,https://m.facebook.com/bellebearhouse/,4.8,72,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 休息 | 星期日: 休息,高雄市,楠梓區
綠棧道寵物旅館沙龍,811台灣高雄市楠梓區興楠路27號,0909 811 983,,4.7,113,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,高雄市,楠梓區
單身狗寵物旅館美容、貓旅館、鼠兔住宿,813台灣高雄市左營區榮總路513號,07 310 6136,https://reurl.cc/6Nbnmb,5,501,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,高雄市,楠梓區
小蕃薯犬貓美容旅店,811台灣高雄市楠梓區德賢路248巷11弄7號,0973 700 157,https://m.facebook.com/%E5%B0%8F%E8%95%83%E8%96%AF%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-1615578985415961/,4.8,172,星期一: 09:30 – 17:00 | 星期二: 休息 | 星期三: 09:30 – 17:00 | 星期四: 09:30 – 17:00 | 星期五: 09:30 – 17:00 | 星期六: 09:30 – 17:00 | 星期日: 09:30 – 17:00,高雄市,楠梓區
汪了個喵寵物美容住宿 - 犬貓美容SPA、皮膚調理、犬貓安親,811台灣高雄市楠梓區卓越路159號,0978 300 829,,5,14,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,高雄市,楠梓區
相浴寵物沙龍 & 犬貓住宿 ( 預約制 ),811台灣高雄市楠梓區惠豐街190號,0989 137 701,https://www.facebook.com/%E7%9B%B8%E6%B5%B4%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8D-107477234194640/,5,12,星期一: 10:00 – 17:30 | 星期二: 10:00 – 17:30 | 星期三: 休息 | 星期四: 10:00 – 17:30 | 星期五: 10:00 – 17:30 | 星期六: 10:00 – 17:30 | 星期日: 10:00 – 17:30,高雄市,楠梓區
