店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
Moni寵物用品,10843台灣台北市萬華區西寧南路153號,0913 616 566,,5,13,星期一: 15:00 – 23:00 | 星期二: 15:00 – 23:00 | 星期三: 15:00 – 23:00 | 星期四: 15:00 – 23:00 | 星期五: 15:00 – 23:00 | 星期六: 15:00 – 23:00 | 星期日: 15:00 – 23:00,5,台北市,中正區
小荳豆寵物美容用品店,100台灣台北市中正區汀州路二段158號,02 2365 0881,,4.7,36,星期一: 11:00 – 20:00 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區
志誠寵物用品,108台灣台北市萬華區萬大路536號,02 2337 7729,http://www.zcpet.com.tw/,4.6,365,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 休息,5,台北市,中正區
HAPET 好寵(安森店) - 台北市寵物用品食品｜寵物精品｜寵物選物店｜專業協助飼養寵物的疑難雜症,106台灣台北市大安區信義路三段75-1號1 樓,02 2707 8877,https://www.hapet.com.tw/,4.9,557,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,5,台北市,中正區
甜蜜狗窩寵物用品店,100台灣台北市中正區汀州路一段256號,02 2332 2467,,4.3,19,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 休息 | 星期五: 休息 | 星期六: 休息 | 星期日: 休息,5,台北市,中正區
柏拉尼塔 Pawlaneta 寵物用品專賣店,103台灣台北市大同區歸綏街208號1樓,02 2550 6757,https://www.pawlaneta.com/,4.9,166,星期一: 休息 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,台北市,中正區
毛孩市集 網路寵物用品商城 (辦公室非店門),10441台灣台北市中山區長安東路一段23號4F-3,080 005 0090,https://petpetgo.com/,2.9,48,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
優美寵物用品行,108台灣台北市萬華區和平西路三段19號,02 2302 3929,,4.5,22,星期一: 13:00 – 20:00 | 星期二: 13:00 – 20:00 | 星期三: 13:00 – 20:00 | 星期四: 13:00 – 20:00 | 星期五: 13:00 – 20:00 | 星期六: 休息 | 星期日: 13:00 – 19:00,5,台北市,中正區
伴你一生寵物健康產品,100台灣台北市中正區和平西路二段142號1樓,0936 542 413,https://www.petwithyou.com.tw/categories/%E6%98%9F%E5%B7%B4%E5%93%88%E5%B0%BC,,,星期一: 09:30 – 18:00 | 星期二: 09:30 – 18:00 | 星期三: 09:30 – 18:00 | 星期四: 09:30 – 18:00 | 星期五: 09:30 – 18:00 | 星期六: 休息 | 星期日: 休息,5,台北市,中正區
元氣毛孩(原元氣毛孩子)-伴侶動物選品＆教學丨寵物按摩.寵物學苑.寵物商品.臘腸狗.大稻埕,103台灣台北市大同區迪化街一段14巷2號,0970 841 447,https://livetour.istaging.com/411781b0-1a16-4c71-95ae-b4f7372ff63e,4.7,78,星期一: 休息 | 星期二: 12:00 – 19:00 | 星期三: 12:00 – 19:00 | 星期四: 12:00 – 19:00 | 星期五: 12:00 – 19:00 | 星期六: 12:00 – 19:00 | 星期日: 12:00 – 19:00,5,台北市,中正區
泳衣專賣 / 兒童公主衣專賣 / 寵物用品專賣／雪球夾 - 弘文國際有限公司,103台灣台北市大同區長安西路145巷5號,02 2555 5255,https://shopee.tw/loveshop24hrs?categoryId=100013&entryPoint=ShopByPDP&itemId=17124492529,5,2,星期一: 09:30 – 16:00 | 星期二: 09:30 – 16:00 | 星期三: 09:30 – 16:00 | 星期四: 09:30 – 16:00 | 星期五: 09:30 – 16:00 | 星期六: 09:30 – 11:30 | 星期日: 休息,5,台北市,中正區
BeHoomie | 寵物家具 | 質感寵物用品 | 寵物空間設計,100台灣台北市中正區詔安街50巷2弄11號,,https://www.behoomie.com/,,,,5,台北市,中正區
寵物迷 Petmily | 寵物保健食品 / 寵物用品 / 寵物健康諮詢,104台灣台北市中山區天祥路16號2樓,02 6605 0990,https://shop.petmily.com/,5,12,星期一: 10:00 – 18:30 | 星期二: 10:00 – 18:30 | 星期三: 10:00 – 18:30 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 休息 | 星期日: 休息,5,台北市,中正區
愛貓園寵物用品,106台灣台北市大安區基隆路二段112號,02 2735 8758,https://www.lovecat.com.tw/,4.3,2816,星期一: 09:00 – 02:00 | 星期二: 09:00 – 02:00 | 星期三: 09:00 – 02:00 | 星期四: 09:00 – 02:00 | 星期五: 09:00 – 02:00 | 星期六: 09:00 – 02:00 | 星期日: 09:00 – 02:00,5,台北市,中正區
丘丘寵物美容精品,100台灣台北市中正區仁愛路二段68號,02 2321 6162,https://www.facebook.com/chouchoupetshop/,4.5,96,星期一: 11:30 – 19:00 | 星期二: 11:30 – 19:00 | 星期三: 休息 | 星期四: 11:30 – 19:00 | 星期五: 11:30 – 19:00 | 星期六: 11:30 – 19:00 | 星期日: 11:30 – 19:00,2,台北市,中正區
金吉利寵物店-中華店,100台灣台北市中正區中華路二段179號,02 2304 3000,,4.5,480,星期一: 12:00 – 23:00 | 星期二: 12:00 – 23:00 | 星期三: 12:00 – 23:00 | 星期四: 12:00 – 23:00 | 星期五: 12:00 – 23:00 | 星期六: 12:00 – 23:00 | 星期日: 12:00 – 23:00,2,台北市,中正區
毛毛頭寵物俱樂部 站前新光店,"8F, No. 66號忠孝西路一段中正區台北市台灣 100",0966 709 830,https://www.murmurtalk.com.tw/,4.9,189,星期一: 11:00 – 21:30 | 星期二: 11:00 – 21:30 | 星期三: 11:00 – 21:30 | 星期四: 11:00 – 21:30 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 21:30,2,台北市,中正區
