店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
三隻小豬小寵物用品專賣店（無販售活體）,400台灣台中市中區成功路56號,04 2225 8950,http://www.3pigs.tw/,4.8,396,星期一: 休息 | 星期二: 16:00 – 21:00 | 星期三: 16:00 – 21:00 | 星期四: 16:00 – 21:00 | 星期五: 16:00 – 21:00 | 星期六: 15:00 – 20:00 | 星期日: 15:00 – 20:00,5,台中市,中區
mao & kou 寵物用品 勤美店,403台灣台中市西區公益路68號2樓,,https://www.mao-select.com.tw/,4.9,1115,星期一: 11:00 – 21:30 | 星期二: 11:00 – 21:30 | 星期三: 11:00 – 21:30 | 星期四: 11:00 – 21:30 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 21:30,5,台中市,中區
寵物幫寵物服飾用品,"號, 一中街北區台中市台灣 404",0968 977 968,,4.9,17,星期一: 16:30 – 23:00 | 星期二: 16:30 – 23:00 | 星期三: 16:30 – 23:00 | 星期四: 16:30 – 23:00 | 星期五: 16:30 – 23:00 | 星期六: 16:00 – 23:00 | 星期日: 16:00 – 23:00,5,台中市,中區
汪喵森活 寵物用品｜貓｜狗｜蝦皮口碑賣家｜預約自取,40241台灣台中市南區復興路三段388號,,https://linktr.ee/woofmeowdaily?fbclid=PAZXh0bgNhZW0CMTEAAaa5r9PgVjY8ch7RiDAo5iW0PhAD7QB1j-5BrahhwcKjTbD-SNbb8-jN4hM_aem_Ab0Umq7Fxk-DLLDZ-qJYhdm0FJgNBgvYQnTg2PtqNvmLjiJYB9xYoZbOTIPl-e77hb_vZcj5_rQHhYSdCK30wXb4,4.3,11,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 休息 | 星期日: 休息,5,台中市,中區
物之坊寵物用品青海店,407台灣台中市西屯區青海路一段84號,04 2316 1877,http://fb.me/wzfang8888,4.6,74,星期一: 11:30 – 22:30 | 星期二: 11:30 – 22:30 | 星期三: 11:30 – 22:30 | 星期四: 11:30 – 22:30 | 星期五: 11:30 – 22:30 | 星期六: 11:30 – 22:30 | 星期日: 11:30 – 22:30,5,台中市,中區
mao & kou 寵物用品 水湳店,407台灣台中市西屯區順平路246號,,https://www.mao-select.com.tw/,4.8,1136,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,5,台中市,中區
上美寵物用品百貨,403台灣台中市西區忠明南路247號,04 2301 4970,,4.3,22,星期一: 10:00 – 23:00 | 星期二: 10:00 – 23:00 | 星期三: 10:00 – 23:00 | 星期四: 10:00 – 23:00 | 星期五: 10:00 – 23:00 | 星期六: 10:00 – 23:00 | 星期日: 休息,5,台中市,中區
以為有貓eWayCats貓住宿•寵物用品,401台灣台中市東區樂業二路80號,0912 139 268,https://www.ewaycats.com/,5,186,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台中市,中區
你他的招財貓 寵物用品|貓|狗|寵物店|線上訂購|蝦皮優質賣家,411台灣台中市太平區中平路順昌巷7弄11號,0958 192 998,https://shopee.tw/evanliur,5,1,星期一: 09:00 – 17:00 | 星期二: 09:00 – 17:00 | 星期三: 09:00 – 17:00 | 星期四: 09:00 – 17:00 | 星期五: 09:00 – 17:00 | 星期六: 09:00 – 17:00 | 星期日: 休息,5,台中市,中區
高精寵物用品,428台灣台中市大雅區中清路四段465巷16-1號,0983 328 516,https://shopee.tw/high0002?categoryId=100631&entryPoint=ShopByPDP&itemId=10002359698&upstream=search,4.3,87,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 09:00 – 18:00 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,5,台中市,中區
喵犬朕寵物生活館《推薦寵物店》寵物美容｜寵物用品專賣｜貓咪美容｜狗狗洗澡｜寵物護膚SPA｜天然洗劑｜優質寵物店,403台灣台中市西區五權路56-2號,04 3603 2030,https://catpunch.meepshoper.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1OTgU-6Sro_aaD25T1pVze7VGZlY1TiKS8Riqc5VrO0-H6I75W2sxQuk8_aem_uuq0Mngc9YnQcE2KF4Mk5Q,5,10,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台中市,中區
旺憂寵物(東興店) — 寵物用品｜寵物美容｜寵物住宿(24小時保母)｜寵物安親,408台灣台中市南屯區東興路二段265號,04 2473 5678,https://lin.ee/Wij3Flb,5,877,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台中市,中區
衣蝶紡精品有限公司 寵物零食 狗零食 貓零食 手作零食 寵物用品店 寵物百貨 狗衣服 貓衣服 批發 代工,404台灣台中市北区东光东街79號9樓之一,0931 635 788,https://shopee.tw/oekc2013,5,56,,5,台中市,中區
旺憂寵物(忠明店) — 寵物用品｜寵物美容｜寵物住宿(24小時保母)｜寵物安親,404台灣台中市北區忠明路333號,04 2203 3888,https://lin.ee/pE5cvFX,5,147,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台中市,中區
魚中魚貓狗水族大賣場-文心店,40862台灣台中市南屯區文心路一段372號,04 2329 2999,https://www.facebook.com/pm.shop01/,4.1,5475,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台中市,中區
好主人寵物台中元老店,402台灣台中市南區復興路三段421號,04 2222 7387,https://petso.com.tw/,4.7,182,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 休息,2,台中市,中區
妙主人寵物生活館,404台灣台中市北區三民路三段103號,04 2221 8969,https://www.facebook.com/Petservice885/?ref=bookmarks,4.8,196,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,台中市,中區
好狗運貓狗福利中心-建成店,401台灣台中市東區建成路669號,04 2285 2666,,4.8,178,星期一: 10:30 – 21:30 | 星期二: 10:30 – 21:30 | 星期三: 10:30 – 21:30 | 星期四: 10:30 – 21:30 | 星期五: 10:30 – 21:30 | 星期六: 10:30 – 21:30 | 星期日: 10:30 – 21:30,2,台中市,中區
