店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
犬貴族寵物用品(每月20休),704台灣台南市北區臨安路二段309號,06 250 0882,http://www.petsnoble.com.tw/,4.3,2447,星期一: 09:35 – 22:30 | 星期二: 09:35 – 22:30 | 星期三: 09:35 – 22:30 | 星期四: 09:35 – 22:30 | 星期五: 09:35 – 22:30 | 星期六: 09:35 – 22:30 | 星期日: 09:35 – 22:30,5,台南市,中西區
一犬超人寵物用品生活館,701台灣台南市東區大同路二段437號,06 267 1845,https://linktr.ee/superdoggg,4.9,116,星期一: 10:00 – 21:30 | 星期二: 10:00 – 21:30 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 21:30 | 星期五: 10:00 – 21:30 | 星期六: 10:00 – 21:30 | 星期日: 休息,5,台南市,中西區
真愛寵物用品生活館,701台灣台南市東區崇明路109號,06 269 5687,,4.3,69,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 休息 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,5,台南市,中西區
吉財寵物用品,701台灣台南市東區德光街95號,06 288 1502,https://www.facebook.com/%E5%90%89%E8%B2%A1%E5%AF%B5%E7%89%A9%E7%94%A8%E5%93%81-106059475027959/,5,3,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台南市,中西區
星際萌寵精品寵物生活館 ｜台南寵物用品｜台南寵物自助洗｜台南寵物美容 | 倉鼠用品,717台灣台南市仁德區文忠路85號,06 279 5011,https://www.facebook.com/profile.php?id=100094155720814,5,217,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,5,台南市,中西區
寵沐殿PET SHOP－寵物沙龍SPA生活館 |美容|寄宿|周邊商品,708013台灣台南市安平區健康路三段315號1F,06 299 8348,https://www.facebook.com/%E5%AF%B5%E6%B2%90%E6%AE%BF%E5%AF%B5%E7%89%A9%E6%B2%99%E9%BE%8Dspa%E7%94%9F%E6%B4%BB%E9%A4%A8106909555163148,4.7,75,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台南市,中西區
欣葳愛犬美容用品百貨,700台灣台南市中西區府前路一段403號,06 214 3377,,4.9,14,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 休息,4,台南市,中西區
狗印百元快洗,700台灣台南市中西區中華西路二段16號1F,06 299 9800,https://line.me/ti/p/~@628mwrbs,3.5,14,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台南市,中西區
汪喵歡樂營(台南館),700台灣台南市中西區文賢路135號,06 350 1234,https://www.facebook.com/cwangmiao/,4.8,1583,星期一: 14:00 – 00:00 | 星期二: 14:00 – 00:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 14:00 – 00:00 | 星期六: 14:00 – 00:00 | 星期日: 14:00 – 00:00,2,台南市,中西區
貝果貝果日韓寵物精品旅館 - 附設溫水游泳池,700台灣台南市中西区南门路159號159-1號,06 214 5122,https://www.bagel-bagel.com/,4.4,201,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,2,台南市,中西區
