店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
毛家寵物-板橋貴興店 貓狗飼料/罐頭/零食/尿布墊/貓砂/寵物用品,220台灣新北市板橋區貴興路2-2號,02 2964 5453,https://www.facebook.com/profile.php?id=61567254980008,5,10,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 00:00 – 22:00,5,新北市,板橋區
喵喵小窩寵物用品-昇竣企業有限公司,220台灣新北市板橋區長江路一段170號,02 2256 9030,https://www.meow2house.com/,4.9,16,星期一: 11:30 – 19:00 | 星期二: 11:30 – 19:00 | 星期三: 11:30 – 19:00 | 星期四: 11:30 – 19:00 | 星期五: 11:30 – 19:00 | 星期六: 休息 | 星期日: 休息,5,新北市,板橋區
雅筑與鼯寶用品專賣店/非犬貓用品旅館(+line預約:@lkl4725u)蜜袋鼯寄宿/乾糧/食譜/奶粉（寄宿區冷暖氣機24h使用）,220台灣新北市板橋區成都街83號一樓,0989 929 432,https://nana0989929432.gogoshopapp.com/,5,591,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 12:00 – 13:00 | 星期日: 12:00 – 13:00,5,新北市,板橋區
寵物用品店,220台灣新北市板橋區文聖街188號,,,,,,5,新北市,板橋區
魔晶園甲蟲寵物用品專門店,220台灣新北市板橋區南雅西路二段74號1F,02 8965 8866,,4.3,262,星期一: 11:30 – 22:00 | 星期二: 18:00 – 22:00 | 星期三: 11:30 – 22:00 | 星期四: 11:30 – 22:00 | 星期五: 11:30 – 22:00 | 星期六: 11:30 – 22:00 | 星期日: 11:30 – 22:00,5,新北市,板橋區
立超寵物水族用品,242台灣新北市新莊區復興路三段113號,02 2998 1906,https://hocom.tw/web/Home/Index?key=6129189082,4.3,202,星期一: 10:30 – 22:00 | 星期二: 10:30 – 22:00 | 星期三: 10:30 – 22:00 | 星期四: 10:30 – 22:00 | 星期五: 10:30 – 22:00 | 星期六: 10:30 – 22:00 | 星期日: 休息,5,新北市,板橋區
魚中魚貓狗水族大賣場-文化店,220台灣新北市板橋區文化路二段28號,02 2253 3366,https://www.joo.com.tw/petsmall/index.php?action=pets_reservation,4.1,4145,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,新北市,板橋區
金吉利寵物精品-板橋文化ㄧ店,220台灣新北市板橋區文化路二段239號,02 8251 0071,https://www.facebook.com/nikianderic2003/,4.7,438,星期一: 12:00 – 22:30 | 星期二: 12:00 – 22:30 | 星期三: 12:00 – 22:30 | 星期四: 12:00 – 22:30 | 星期五: 12:00 – 22:30 | 星期六: 12:00 – 22:30 | 星期日: 12:00 – 22:30,2,新北市,板橋區
魚中魚寵物水族大賣場-長江店,220台灣新北市板橋區長江路三段149-1號,02 2252 8777,https://www.petsmall.com.tw/petsmall/index.php,4.6,1088,星期一: 11:00 – 22:30 | 星期二: 11:00 – 22:30 | 星期三: 11:00 – 22:30 | 星期四: 11:00 – 22:30 | 星期五: 11:00 – 22:30 | 星期六: 11:00 – 22:30 | 星期日: 11:00 – 22:30,2,新北市,板橋區
培菓幸福寵物-板橋懷德店,220台灣新北市板橋區懷德街80-2號1樓,02 2258 2190,https://www.facebook.com/petco.banquio/,4.5,196,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
培菓幸福寵物 環中店,220台灣新北市板橋區三民路二段245巷60號,02 2959 1937,https://www.facebook.com/%E5%B9%B8%E7%A6%8F%E5%9F%B9%E8%8F%93%E5%AF%B5%E7%89%A9%E6%9D%BF%E6%A9%8B%E7%92%B0%E4%B8%AD%E5%BA%97-538786607039091/,4.6,344,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
SofyDOG寵物精品-板橋店,220台灣新北市板橋區文化路二段12號,02 8257 0093,https://www.sofydog.com/,4.9,422,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
樂寵貓狗屋,220台灣新北市板橋區光正街39號,0979 632 161,https://www.happylepet.com/,5,161,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,2,新北市,板橋區
板橋寵物店-寵寶貝寵物店,220033台灣新北市板橋區文德路2號,0912 299 048,https://www.perfectcutepet.com.tw/,4.9,38,星期一: 13:00 – 21:00 | 星期二: 休息 | 星期三: 13:00 – 21:00 | 星期四: 13:00 – 21:00 | 星期五: 13:00 – 21:00 | 星期六: 13:00 – 21:00 | 星期日: 13:00 – 21:00,2,新北市,板橋區
東森寵物 板橋雨農店,220033台灣新北市板桥区雨农路54號1樓,02 2250 0070,https://www.etipets.com/,4.8,57,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,新北市,板橋區
歡喜寵物生活館-陽明店,220台灣新北市板橋區陽明街29號,02 2250 6655,,4.8,100,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
寵物好飼多,220台灣新北市板橋區實踐路165號1樓,0925 665 098,,5,102,星期一: 12:00 – 23:00 | 星期二: 12:00 – 23:00 | 星期三: 12:00 – 23:00 | 星期四: 12:00 – 23:00 | 星期五: 12:00 – 23:00 | 星期六: 12:00 – 23:00 | 星期日: 12:00 – 23:00,2,新北市,板橋區
荷蓓寵物精品,220台灣新北市板橋區南雅東路29巷2號,02 8968 2500,,4.7,131,星期一: 13:30 – 00:00 | 星期二: 13:30 – 00:00 | 星期三: 13:30 – 00:00 | 星期四: 13:30 – 00:00 | 星期五: 13:30 – 00:00 | 星期六: 13:30 – 00:00 | 星期日: 13:30 – 00:00,2,新北市,板橋區
培菓幸福寵物-館前店,220台灣新北市板橋區館前西路150-3號1樓,02 2966 0010,https://www.petco888.com/,4.9,79,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,2,新北市,板橋區
肥肥鼠寵物雜貨舖,220台灣新北市板橋區三民路一段86號,02 8953 3133,https://www.facebook.com/groups/miaclk/?epa=SEARCH_BOX,3.3,126,星期一: 13:00 – 22:00 | 星期二: 13:00 – 22:00 | 星期三: 13:00 – 22:00 | 星期四: 13:00 – 22:00 | 星期五: 13:00 – 22:00 | 星期六: 13:00 – 20:00 | 星期日: 13:00 – 20:00,2,新北市,板橋區
東森寵物 新莊旗艦店,242台灣新北市新莊區中正路2號,02 2996 0026,http://www.etipets.com/,4.5,1544,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,新北市,板橋區
哈哈窩寵物精品館-板橋重慶店,220台灣新北市板橋區重慶路276-9號號1樓,02 2955 7985,https://www.facebook.com/pg/hahahouse.com.tw/about/,4.6,82,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
寵物事務所,220台灣新北市板橋區民生路二段151號1樓,02 2256 6869,https://www.facebook.com/catanddogoffice/,4.9,58,星期一: 13:00 – 21:00 | 星期二: 13:00 – 21:00 | 星期三: 13:00 – 21:00 | 星期四: 13:00 – 21:00 | 星期五: 13:00 – 21:00 | 星期六: 休息 | 星期日: 休息,2,新北市,板橋區
咕咕G寵物城 中山店,220台灣新北市板橋區中山路二段299號,02 2959 0000,http://line.me/ti/p/@qfi7778c,4.5,171,星期一: 10:30 – 21:30 | 星期二: 10:30 – 21:30 | 星期三: 11:00 – 21:00 | 星期四: 10:30 – 21:30 | 星期五: 10:30 – 21:30 | 星期六: 10:30 – 21:30 | 星期日: 10:30 – 21:30,2,新北市,板橋區
馬吉家族寵物館,220台灣新北市板橋區中正路132號,02 2965 6585,https://www.machi-family.com/,4.4,108,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 18:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,2,新北市,板橋區
有間寵物店,220台灣新北市板橋區中山路一段206巷97號,0983 255 019,https://www.facebook.com/yoyodogcat,4.6,187,星期一: 10:30 – 21:00 | 星期二: 10:30 – 21:00 | 星期三: 10:30 – 21:00 | 星期四: 10:30 – 21:00 | 星期五: 10:30 – 21:00 | 星期六: 10:30 – 21:00 | 星期日: 10:30 – 21:00,2,新北市,板橋區
貓狗大棧,220台灣新北市板橋區重慶路244號,02 2955 3669,,4.6,25,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 11:00 – 20:00,2,新北市,板橋區
魚中魚水族寵物大賣場-中山店,22065台灣新北市板橋區中山路一段248號,02 2959 3939,https://www.petsmall.com.tw/petsmall/index.php?action=pets_reservation,4.2,1276,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,2,新北市,板橋區
小寶貝寵物,220台灣新北市板橋區雙十路二段22號,02 2258 3916,,4.7,57,星期一: 10:00 – 20:30 | 星期二: 10:00 – 20:30 | 星期三: 10:00 – 20:30 | 星期四: 10:00 – 20:30 | 星期五: 10:00 – 20:30 | 星期六: 10:00 – 20:30 | 星期日: 休息,2,新北市,板橋區
展欣寵物有限公司,220台灣新北市板橋區文化路二段28號,02 2257 6079,,5,1,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,2,新北市,板橋區
奧莉薇寵物世界,220台灣新北市板橋區新生街6號,02 2967 7936,,4.2,18,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,2,新北市,板橋區
旺城寵物精品-莒光門市,220台灣新北市板橋區莒光路152號1樓,02 2258 5898,https://www.facebook.com/%E6%97%BA%E5%9F%8E%E5%AF%B5%E7%89%A9%E6%9D%BF%E6%A9%8B%E8%8E%92%E5%85%89%E9%96%80%E5%B8%82-102880244653836/?modal=admin_todo_tour,4.8,46,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,新北市,板橋區
李小貓之家寵物概念生活館,220台灣新北市板橋區雨農路12號,02 2957 8787,https://shopee.tw/suncat,4.8,188,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 18:00,2,新北市,板橋區
永力合寵物生活館,220台灣新北市板橋區長江路二段310號,02 2255 0085,,4,42,星期一: 休息 | 星期二: 11:30 – 21:00 | 星期三: 11:30 – 21:00 | 星期四: 11:30 – 21:00 | 星期五: 11:30 – 21:00 | 星期六: 11:30 – 21:00 | 星期日: 休息,2,新北市,板橋區
咕咕G寵物城 亞東店,220台灣新北市板橋區四川路二段36號,02 8966 2222,https://lin.ee/0uPEMWI,4.1,172,星期一: 11:00 – 21:30 | 星期二: 11:00 – 21:30 | 星期三: 11:00 – 21:30 | 星期四: 11:00 – 21:30 | 星期五: 11:00 – 21:30 | 星期六: 11:00 – 21:30 | 星期日: 11:00 – 21:30,2,新北市,板橋區
咘鈴寵物館,220台灣新北市板橋區大觀路三段142-1號,0903 368 236,https://www.facebook.com/lala0903/,4.7,94,星期一: 12:00 – 21:00 | 星期二: 12:00 – 21:00 | 星期三: 12:00 – 21:00 | 星期四: 12:00 – 21:00 | 星期五: 12:00 – 21:00 | 星期六: 12:00 – 21:00 | 星期日: 12:00 – 21:00,2,新北市,板橋區
毛寶貝快樂寵物坊,220台灣新北市板橋區仁化街137號門口可停車,0903 109 236,https://furrybaby.queenmary.com.tw/,4.7,178,星期一: 休息 | 星期二: 13:30 – 21:00 | 星期三: 13:30 – 21:00 | 星期四: 13:30 – 21:00 | 星期五: 13:30 – 21:00 | 星期六: 13:30 – 21:00 | 星期日: 13:30 – 21:00,2,新北市,板橋區
寵物鳥世界 K2 Parrot&Pet House,220台灣新北市板橋區南門街32號,02 2965 3355,http://www.pcstore.com.tw/K2Petbird/,4.6,436,星期一: 12:00 – 19:00 | 星期二: 12:00 – 19:00 | 星期三: 12:00 – 19:00 | 星期四: 12:00 – 19:00 | 星期五: 12:00 – 19:00 | 星期六: 12:00 – 19:00 | 星期日: 12:00 – 19:00,2,新北市,板橋區
