店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
熊熊寵物用品,811台灣高雄市楠梓區旗楠路935號1F,0934 295 937,https://shopee.tw/shop/3629645/,5,7,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 17:00 | 星期日: 休息,5,高雄市,楠梓區
奧丁寵物-高雄楠梓寵物店|左營各式品種犬貓專賣店|橋頭寵物美容|寵物自助洗|寵物用品|寵物愛心捐糧,811台灣高雄市楠梓區大學十街191號,07 365 0008,,4.9,68,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5,高雄市,楠梓區
寵物部長 寵物用品 點選網址加好友1對1服務及優惠資訊,825台灣高雄市橋頭區新莊路85-5號,07 611 3213,https://lin.ee/IdIta3c,5,10,星期一: 08:00 – 17:00 | 星期二: 08:00 – 19:00 | 星期三: 08:00 – 19:00 | 星期四: 08:00 – 19:00 | 星期五: 08:00 – 17:00 | 星期六: 休息 | 星期日: 10:00 – 19:00,5,高雄市,楠梓區
建民寵物用品有限公司(飼料罐頭批發經銷),814台灣高雄市仁武區永仁街556-1號,07 375 2558,,4.3,6,星期一: 09:00 – 17:30 | 星期二: 09:00 – 17:30 | 星期三: 09:00 – 17:30 | 星期四: 09:00 – 17:30 | 星期五: 09:00 – 17:30 | 星期六: 休息 | 星期日: 休息,5,高雄市,楠梓區
乾乾咬一口寵物用品店,807台灣高雄市三民區興昌街83巷13號,0982 270 944,,5,491,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,5,高雄市,楠梓區
ORG LIFE 橙漾夯生活｜仁武店｜高雄百貨｜生活百貨｜汽機車用品｜貓砂｜寵物用品｜衛生棉｜五金百貨,814台灣高雄市仁武區仁祥街50-3號,0977 662 515,https://shopee.tw/org_life,5,52,星期一: 08:30 – 18:00 | 星期二: 08:30 – 18:00 | 星期三: 08:30 – 18:00 | 星期四: 08:30 – 18:00 | 星期五: 08:30 – 18:00 | 星期六: 休息 | 星期日: 休息,5,高雄市,楠梓區
悠海寵物水族,811台灣高雄市楠梓區建楠橫路30之2號1樓,0975 131 552,,5,1,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區
寵物星樂園 (KUKU寵物尿布墊),833台灣高雄市鳥松區本館路99號,0900 120 160,https://www.petstar616.com/,4.8,10,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區
百分百寵物生活館 寵物美容 (旗楠店) 獸醫師開的寵物店,811台灣高雄市楠梓區旗楠路106號,07 353 5918,https://pet100percent.simplybook.asia/,4.9,2062,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,2,高雄市,楠梓區
貓狗大棧寵物百貨-高雄右昌店,811台灣高雄市楠梓區後昌新路130號,07 362 8777,https://catndog.com.tw/,4.2,856,星期一: 10:00 – 23:00 | 星期二: 10:00 – 23:00 | 星期三: 10:00 – 23:00 | 星期四: 10:00 – 23:00 | 星期五: 10:00 – 23:00 | 星期六: 10:00 – 23:00 | 星期日: 10:00 – 23:00,2,高雄市,楠梓區
