店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
台北寵物火化安樂諮詢中心,103台灣台北市大同區長安西路119號6樓,0901 400 800,https://lin.ee/F66VcOY,5,33,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
"台北康寧寵物安樂園-寵物禮儀,寵物超渡,動物超渡,寵物火化,動物火化,寵物墓地,寵物納骨塔,寵物樹葬木柵秘密花園",222台灣新北市深坑區北深路三段93巷51號,02 2664 1826,https://www.kan-ning.com.tw/,4.3,181,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
暮浴寵物禮儀 寵物水化,221台灣新北市汐止區大同路一段183號2樓之1,02 2643 1234,https://www.sunsetshower.com.tw/,5,415,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
萌寵全方位-寵物生命禮儀,235台灣新北市中和區民享街30巷8弄3號,0963 795 848,https://kawaiimmd.com/,5,2,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
寵返星球生命禮儀｜寵物火化｜專業禮儀團隊,220台灣新北市板橋區大觀路二段27巷12號2樓,02 7746 7949,https://maotravel.tw/,5,11,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
懷恩寵物安樂園,244台灣新北市林口區大水湳路69號,02 2609 3133,http://www.petparadise.com.tw/,4.7,741,星期一: 09:00 – 17:00 | 星期二: 09:00 – 17:00 | 星期三: 09:00 – 17:00 | 星期四: 09:00 – 17:00 | 星期五: 09:00 – 17:00 | 星期六: 09:00 – 17:00 | 星期日: 09:00 – 17:00,5,台北市,中正區
晴禾寵物火化禮儀｜新竹寵物天堂・安樂諮詢,302台灣新竹縣竹北市中正東路522號,03 552 0330,https://lin.ee/IaogbOF,5,556,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區
阜祐事業 精緻禮儀,100台灣台北市中正區館前路8號7 樓,0925 968 695,http://www.fuyo8899.com/,4.9,44,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
宸豐生命禮儀,241台灣新北市三重區長壽西街60號2樓,0987 747 884,https://044000.tw/,5,3,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
祤華生命禮儀公司,220台灣新北市板橋區四維路259巷65號,0926 450 239,http://www.yuhua-life.com/,5,98,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
和苑禮儀有限公司,10482台灣台北市中山區農安街204巷2號1樓,080 005 7111,https://www.he-yuan.tw/,5,55,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
祥辰生命禮儀,220台灣新北市板橋區長江路一段133號1樓,0918 600 032,https://www.shaingchen1314.com/,5,27,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
恩慧生命事業/殯葬禮儀 台北生命禮儀 新北生命禮儀 台北葬儀社 新北葬儀社 板橋禮儀公司 桃園中壢生命禮儀,220台灣新北市板桥区长江路三段118號土城區金城路1段19號,0923 975 997,https://www.0800258766.com/,5,81,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
天佑生活事業-台北生命禮儀公司推薦,106台灣台北市中山區民權東路二段135巷19號,080 048 4888,https://tianyu-funeral.tw/,5,110,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
三重葬儀社（後方辦公室，如欲到店諮詢，請先電洽）,241台灣新北市三重區忠孝路二段55號,0922 086 189,,5,379,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
小樹人文生命禮儀公司,220台灣新北市板橋區三民路二段28號9樓,080 071 6365,https://www.smalltree.com.tw/,5,99,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
冬瓜行旅-台北葬儀社與生命禮儀公司推薦(小冬瓜郭憲鴻),10491台灣台北市中山區民權東路二段194號,0926 555 558,https://owt.com.tw/,4.9,386,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台北市,中正區
享家寵物到府善終,100台灣台北市中正區牯嶺街15-1號,0905 060 603,https://www.homewardpet.com.tw/,5,105,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台北市,中正區
台北市立富德寵物灑葬區,116台灣台北市文山區木柵路,,,4.8,6,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台北市,中正區
汝果寵物生命會館,105台灣台北市松山區光復北路190巷17號9樓,02 2895 1334,https://www.ifspirit.com/,,,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台北市,中正區
茸茸花園寵物聖地園區,221台灣新北市汐止區八連路二段329巷130號之一,080 907 5099,https://fluffy.tw/,5,1301,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台北市,中正區
