店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
靜願生命禮儀(興業店)-台南新營禮儀社推薦|葬儀社推薦|祖先撿金、寵物天堂|低收清寒人士殯葬全免|臨終關懷規劃諮詢|各式宗教承辦、禮儀諮詢|台南、新營、柳營、鹽水殯儀館,730台灣台南市新營區公誠街17巷18號之3,0932 873 986,https://www.jingyuanle.com/,5,67,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台南市,中西區
靜願生命禮儀(柳營店) -台南柳營禮儀社推薦|葬儀社推薦|祖先撿金、寵物天堂|低收清寒人士殯葬全免|臨終關懷規劃諮詢|各式宗教承辦、禮儀諮詢|台南、新營、柳營、鹽水殯儀館,736台灣台南市柳營區中兴南街11巷9弄10號,0932 873 986,https://www.jingyuanle.com/,5,53,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台南市,中西區
聖心寵物禮儀/寵物安寧照護,709台灣台南市安南區長溪路二段570巷81弄151號,0916 093 259,,5,1,,5,台南市,中西區
毛孩寶貝安樂園,802台灣高雄市苓雅區永昌街32號,0937 678 350,https://pethomeinheaven.tw/,4.9,296,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 05:00 – 00:00,5,台南市,中西區
忠誠生命禮儀服務,702台灣台南市南區國民路270巷75弄14號,0958 709 231,https://www.loyaltyfuneral.com/,5,114,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台南市,中西區
台南禮儀公司慈暉生命美學,702台灣台南市南區國民路222號,06 268 0257,https://cihui.com.tw/,5,55,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台南市,中西區
寶蓮燈禮儀社,710台灣台南市永康區大灣路942巷50號,0913 671 271,,5,1,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,4,台南市,中西區
三子寵物天堂,712台灣台南市新化區中興路302 巷83號,06 590 7766,http://santzu.com.tw/,4.9,346,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台南市,中西區
仙園寵物天堂,744台灣台南市新市區大順六路,0972 392 110,https://www.shianyuan.url.tw/,5,14,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台南市,中西區
康寧寵物,702台灣台南市南區新都路347號,06 261 8537,,4.3,34,"星期一: 休息 | 星期二: 休息 | 星期三: 09:00 – 12:00, 13:00 – 17:00 | 星期四: 09:00 – 12:00, 13:00 – 17:00 | 星期五: 09:00 – 12:00, 13:00 – 17:00 | 星期六: 09:00 – 12:00, 13:00 – 17:00 | 星期日: 09:00 – 12:00, 13:00 – 17:00",2,台南市,中西區
