店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域
懷翔寵物生命禮儀-苓雅辦公室 | 寵物火化 | 寵物禮儀服務 | 寵物樹葬,802台灣高雄市苓雅區廣西路36號,07 735 6988,https://petcremation.com.tw/,5,112,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,高雄市,楠梓區
懷翔寵物生命禮儀-小港園區 | 寵物火化 | 寵物禮儀服務,812台灣高雄市小港區高松路,07 735 6988,https://petcremation.com.tw/,5,938,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,高雄市,楠梓區
宇果寵物羽化園區 - 高雄寵物禮儀、寵物火化,824台灣高雄市燕巢區金山路大埔巷,0911 082 263,https://uglow.com.tw/,5,40,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,高雄市,楠梓區
毛孩寶貝安樂園,802台灣高雄市苓雅區永昌街32號,0937 678 350,https://pethomeinheaven.tw/,4.9,296,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 05:00 – 00:00,5,高雄市,楠梓區
皇寵寵物生命禮儀 | 寵物火化 | 寵物禮儀 | 寵物骨灰罐 | 高雄寵物火化 | 寵物過世 | 寵物殯葬 | 寵物天堂 | 寵物安樂 | 寵物祭祀用品,806台灣高雄市前鎮區廣東三街46號,0917 433 997,https://www.cigarette.com.tw/h/Index?key=tibg9,5,93,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,高雄市,楠梓區
幸運草寵物火化善終,820台灣高雄市岡山區竹圍東街85號,0986 810 540,,4.9,51,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區
康寧寵物樂園,811台灣高雄市楠梓區楠陽路85號,07 352 5816,,3.7,3,"星期一: 休息 | 星期二: 休息 | 星期三: 09:00 – 12:00, 13:00 – 17:00 | 星期四: 09:00 – 12:00, 13:00 – 17:00 | 星期五: 09:00 – 12:00, 13:00 – 17:00 | 星期六: 09:00 – 12:00, 13:00 – 17:00 | 星期日: 09:00 – 12:00, 13:00 – 17:00",2,高雄市,楠梓區
永懷寵物天堂樂園,815台灣高雄市大社區和平路二段291-10號,0972 777 726,https://yonghuaipet.com.tw/,4.6,486,星期一: 08:00 – 23:00 | 星期二: 08:00 – 23:00 | 星期三: 08:00 – 23:00 | 星期四: 08:00 – 23:00 | 星期五: 08:00 – 23:00 | 星期六: 08:00 – 23:00 | 星期日: 08:00 – 23:00,2,高雄市,楠梓區
白馬寵物樂園,813台灣高雄市左營區文學路483號,07 347 8200,https://whitehorse-khh.com/,4.5,15,星期一: 07:30 – 23:00 | 星期二: 07:30 – 23:00 | 星期三: 07:30 – 23:00 | 星期四: 07:30 – 23:00 | 星期五: 07:30 – 23:00 | 星期六: 07:30 – 23:00 | 星期日: 07:30 – 23:00,2,高雄市,楠梓區
【邑威生命】(24小時│生命禮儀│專業規劃│喜喪陣頭│葬儀包辦│佛道禮儀│寵物禮儀│禮場設計│塔位承辦│玉石骨甕│風水造墓│擇日撿骨│紙厝庫錢│中西壽棺│老人嫁妝│靈車出租),826台灣高雄市梓官區展寶路44巷30號,0963 161 732,http://yiwei888.com.tw/,5,18,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,高雄市,楠梓區
致愛寶貝寵物生命禮儀,814台灣高雄市仁武區永新二街135號,0918 938 925,https://www.facebook.com/profile.php?id=61552710629698&mibextid=LQQJ4d,,,星期一: 07:00 – 23:00 | 星期二: 07:00 – 23:00 | 星期三: 07:00 – 23:00 | 星期四: 07:00 – 23:00 | 星期五: 07:00 – 23:00 | 星期六: 07:00 – 23:00 | 星期日: 07:00 – 23:00,5,高雄市,楠梓區
永戌寵物樂園,823台灣高雄市田寮区1號,07 636 1620,https://shop.hocom.tw/h/index?key=fjfav,5,74,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區
貓之森寵物生活館,811台灣高雄市楠梓區慶昌街43巷1弄7號,0906 414 938,https://lin.ee/N3FRBvi,4.9,32,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,高雄市,楠梓區
百分百寵物生活館 寵物美容 (旗楠店) 獸醫師開的寵物店,811台灣高雄市楠梓區旗楠路106號,07 353 5918,https://pet100percent.simplybook.asia/,4.9,2062,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,2,高雄市,楠梓區
莒光動物醫院 - 高雄 楠梓 動物醫院推薦 犬貓門診內科首選 囓齒類 鼠 兔小動物門診好評 專業外科 皮膚科 骨科 牙科 婦科 寵物泌尿科 預防針注射 晶片登記 血液檢查 病毒快篩 全身健檢 結紥 洗 拔 補牙 腫瘤切除 高壓氧 超音波 皮膚治療,811台灣高雄市楠梓區隆昌里加昌路849號,07 364 0207,https://zh-tw.facebook.com/juguang.ah/,3.9,295,"星期一: 08:30 – 11:30, 13:30 – 20:30 | 星期二: 08:30 – 11:30, 13:30 – 20:30 | 星期三: 08:30 – 11:30, 13:30 – 20:30 | 星期四: 08:30 – 11:30, 13:30 – 20:30 | 星期五: 08:30 – 11:30, 13:30 – 20:30 | 星期六: 08:30 – 11:30, 13:30 – 20:30 | 星期日: 08:30 – 11:30, 13:30 – 20:30",2,高雄市,楠梓區
東森寵物 楠梓興楠店,811台灣高雄市楠梓區興楠路60號,07 354 2228,https://www.etipets.com/,4.5,622,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,高雄市,楠梓區
懶洋洋寵物沙龍(犬貓住宿、安親官方Line預約制),811台灣高雄市楠梓區大學三十一街173號,0971 235 039,https://www.instagram.com/zxp950434?igsh=MWQ4am1pMjIzZ2QxMg==&utm_source=qr,5,67,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,2,高雄市,楠梓區
東森寵物-楠梓藍昌店,811台灣高雄市楠梓區藍昌路425號,07 591 8777,http://www.oscar-pet.com.tw/,4.4,371,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,2,高雄市,楠梓區
撼寶寶寵物新生活館/楠梓狗安親住宿&貓住宿/低壓住宿,811台灣高雄市楠梓區樂群路259號,0928 931 183,https://www.facebook.com/Darlinghanhan,4.9,13,星期一: 15:00 – 19:00 | 星期二: 15:00 – 19:00 | 星期三: 15:00 – 19:00 | 星期四: 15:00 – 19:00 | 星期五: 15:00 – 19:00 | 星期六: 休息 | 星期日: 休息,2,高雄市,楠梓區
變色狗,811台灣高雄市楠梓區德民路997之6號,0936 860 000,,4.4,19,星期一: 12:00 – 17:00 | 星期二: 12:00 – 17:00 | 星期三: 12:00 – 17:00 | 星期四: 12:00 – 17:00 | 星期五: 12:00 – 17:00 | 星期六: 12:00 – 17:00 | 星期日: 休息,2,高雄市,楠梓區
LaiDua寵物美容＆寵物住宿（安親、貓咪寄宿、高雄寵物住宿）,811台灣高雄市楠梓區土庫一路10號,0971 757 031,https://www.facebook.com/laiduapetspahotel,4.9,50,星期一: 11:00 – 18:30 | 星期二: 11:00 – 18:30 | 星期三: 11:00 – 18:30 | 星期四: 11:00 – 18:30 | 星期五: 11:00 – 18:30 | 星期六: 11:00 – 18:30 | 星期日: 11:00 – 18:30,2,高雄市,楠梓區
貓癮貓坊,811台灣高雄市楠梓區大學二十街9號,0905 615 658,https://www.instagram.com/meowtopia2024,5,71,星期一: 13:00 – 20:00 | 星期二: 休息 | 星期三: 13:00 – 20:00 | 星期四: 13:00 – 20:00 | 星期五: 13:00 – 20:00 | 星期六: 13:00 – 20:00 | 星期日: 13:00 – 20:00,2,高雄市,楠梓區
蝶の戀寵物美學生活館,811台灣高雄市楠梓區瑞屏路62號,07 364 7124,https://m.facebook.com/profile.php?id=890905234255610,4.7,16,星期一: 休息 | 星期二: 休息 | 星期三: 10:30 – 18:00 | 星期四: 10:30 – 18:00 | 星期五: 10:30 – 18:00 | 星期六: 10:30 – 18:00 | 星期日: 10:30 – 18:00,2,高雄市,楠梓區
