名稱,地址,地點類型,地區
迎風狗運動公園,台北市松山區莊敬里,狗狗公園,台北市
信義廣場狗活動區,台北市信義區信義路五段11號,狗狗公園,台北市
福順狗運動公園,台北市士林區通河西街一段24號,狗狗公園,台北市
週美狗活動區,台北市內湖區潭美街219號,狗狗公園,台北市
華江狗活動區,台北市萬華區華江狗公園,狗狗公園,台北市
景勤狗活動區,台北市信義區信安街67巷,狗狗公園,台北市
美堤狗活動區,台北市中山區樂群一路基隆河基16號水門,狗狗公園,台北市
潭美毛寶貝快樂公園,台北市內湖區潭美街852號,狗狗公園,台北市
華山公園狗活動區,台北市中正區林森北路28號,狗狗公園,台北市
萬興狗活動區,台北市文山區116,狗狗公園,台北市
至善公園(福林)狗狗活動區,台北市士林區至善路一段,狗狗公園,台北市
北勢湖公園狗活動區,台北市內湖區,狗狗公園,台北市
玉成公園狗活動區,台北市信義區中坡南路58號,狗狗公園,台北市
大同狗活動區,台北市北投區北投路二段4號,狗狗公園,台北市
洲美狗活動區,台北市北投區福美路,狗狗公園,台北市
葫東狗狗活動區,台北市士林區中正路589號,狗狗公園,台北市
三腳渡狗狗活動區,台北市士林區通河東街一段7號,狗狗公園,台北市
古亭狗活動區,台北市中正區同安街109巷10號,狗狗公園,台北市
延平狗活動區,台北市大同區 103,狗狗公園,台北市
青峰狗活動區(台北市大安區),台北市大安區黎元里青峰公園內(辛亥路三段)。,狗狗公園,台北市
華中狗活動區,台北市萬華區華中橋,狗狗公園,台北市
