店名,服務的寵物,營業時間,聯絡方式,地址,相關網站,地點類型
飛野犬貓整復推拿寵物按摩,狗、貓,"星期一~星期五上午9:00 - 下午12:30 、下午3:00 - 下午9:00
星期六上午9:00 - 下午12:30",04-35035057,台中市北屯區昌平路一段95-9號,https://www.facebook.com/p/%E5%BE%B7%E6%84%9B%E4%B8%AD%E8%A5%BF%E9%86%AB%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-100064023253115/?locale=zh_TW,整骨
NY歪·整復｜AMCT｜體態雕塑平衡｜產後調整,狗、貓,星期一~星期日10:00–20:00,976295396,台北市中正區臨沂街66巷3號,https://www.instagram.com/ny_nick777?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,整骨
確石寵物整脊,狗、貓、馬,,minyi278@gmail.com,,https://chastone.com/,整骨
國立臺灣大學生物資源暨農學院附設動物醫院,狗、貓,星期一~星期五08:00–17:00,02-2739-6828 (10線),台北市大安區基隆路三段153號,https://www.vh.ntu.edu.tw/index.php?lang=tw&do=team&id=14,整骨
王樣動物醫院,狗、貓,"星期一~星期三、星期四~星期六10:00–13:30
16:30–19:00",02-23570217,台北市大安區金華街217號,https://pethealth.com.tw/tdcpt_directories/%E7%8E%8B%E6%A8%A3%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/,整骨
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
