店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
寵曖貓狗生活館-寵物貓狗美容造型 寵物旅館住宿安親接送 SPA按摩 基礎深層美容清潔推薦,40041台灣台中市中區民族路223號,04 2221 9988,https://www.instagram.com/chongai_pet/,5,1882,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台中市,中區,美容
NiJiou寵物美容,403台灣台中市西區自立街28號,,https://www.facebook.com/NiJioupetsalon,4.9,82,星期一: 11:00 – 18:00 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 11:00 – 18:00 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 11:00 – 18:00,5,台中市,中區,美容
A ONE 精緻寵物美容,403台灣台中市西區自治街172號,04 3611 1698,https://www.instagram.com/aonepetsalon/,5,68,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台中市,中區,美容
蒔沐寵物沙龍 | 寵物SPA,40444台灣台中市北區中清路一段418號,04 2208 5862,https://www.leleanimalhospital.com/,5,17,星期一: 休息 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,台中市,中區,美容
漫。慢寵物美容工作室 ❘ 預約優先制 ❘ 台中寵物美容 ❘ 寵物洗澡 ❘ 北區寵物美容推薦,404台灣台中市北區中清路一段331號,0988 209 338,https://lin.ee/pQZNdXb,4.9,62,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台中市,中區,美容
洗蹦蹦耶寵物美容專門店,402台灣台中市南區台中路292-1號,0958 621 881,,5,29,,5,台中市,中區,美容
Cozypets暖暖寵物澡堂(一對一預約優先制)【台中西區網友推薦寵物旅館】安心寵物住宿｜寵物寄宿｜洗狗｜寵物美容｜狗狗洗澡｜貓咪洗澡｜大狗美容,403台灣台中市西區西屯路一段133之1號1樓,04 2206 0125,https://www.cozypets113-1.com/,4.9,40,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台中市,中區,美容
毛沛屋寵物沙龍 Mao Pet House Pet Salon,403台灣台中市西區篤行路235號,04 2203 5020,https://www.facebook.com/%E6%AF%9B%E6%B2%9B%E5%B1%8BMao-Pet-House-Pet-Salon-103971702314125,4.9,75,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台中市,中區,美容
喜毛寵物美容,404台灣台中市北區五權路500巷6弄12號,04 3609 9968,,5,54,星期一: 10:00 – 20:00 | 星期二: 休息 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台中市,中區,美容
毛剪MOCUT 寵物美容,402台灣台中市南區仁和路282號,04 2280 9819,https://mocut-petsalon.mystrikingly.com/,5,19,,5,台中市,中區,美容
