店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,類型
5隻狗寵物美容生活館,100台灣台北市中正區羅斯福路三段92號,02 2365 6676,https://www.facebook.com/5%E9%9A%BB%E7%8B%97%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9%E7%94%9F%E6%B4%BB%E9%A4%A8-196187907383961/,4.9,134,星期一: 10:30 – 18:30 | 星期二: 休息 | 星期三: 休息 | 星期四: 10:30 – 18:30 | 星期五: 10:30 – 18:30 | 星期六: 10:30 – 18:30 | 星期日: 10:30 – 18:30,5,台北市,中正區,美容
GROOMER YAYA 寵物美容住宿生活館,100台灣台北市中正區和平西路二段64號,,https://www.instagram.com/groomer_yaya/,4.9,45,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,5,台北市,中正區,美容
狗出沒寵物美容,100台灣台北市中正區汀州路二段74號,02 2367 5768,https://m.facebook.com/e.3tjai4,4.5,48,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中正區,美容
雪堡寵物美容,100台灣台北市中正區濟南路二段24號,02 2397 3445,,4.8,41,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 休息,5,台北市,中正區,美容
丘丘寵物美容精品,100台灣台北市中正區仁愛路二段68號,02 2321 6162,https://www.facebook.com/chouchoupetshop/,4.5,96,星期一: 11:30 – 19:00 | 星期二: 11:30 – 19:00 | 星期三: 休息 | 星期四: 11:30 – 19:00 | 星期五: 11:30 – 19:00 | 星期六: 11:30 – 19:00 | 星期日: 11:30 – 19:00,5,台北市,中正區,美容
歡樂澡堂寵物美容館,100台灣台北市中正區牯嶺街113號,02 2368 8700,,4.4,41,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中正區,美容
型男爸爸到府寵物美容(非實體店面，僅提供到府服務),108台灣台北市萬華區成都路67號6樓601室,0987 300 197,,4.7,55,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,中正區,美容
勾勾沐寵物SPA/寵物美容/萬華寵物美容/長湯spa,108030台灣台北市萬華區西藏路144號,02 2302 1814,https://rink.cc/m0hbl,5,87,星期一: 10:00 – 18:30 | 星期二: 10:00 – 18:30 | 星期三: 休息 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 10:00 – 18:30,5,台北市,中正區,美容
小荳豆寵物美容用品店,100台灣台北市中正區汀州路二段158號,02 2365 0881,,4.7,36,星期一: 11:00 – 20:00 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中正區,美容
Jelly Pet Spa潔莉寵物美容,106台灣台北市大安區潮州街58號,02 2341 8858,https://www.facebook.com/jellypetspa/,4.9,72,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,中正區,美容
