店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
狗狗散步 寵物美容 日用雜貨,700台灣台南市中西區大仁街44號,06 227 7770,http://www.facebook.com/inusanpo,4.9,57,星期一: 13:00 – 21:00 | 星期二: 休息 | 星期三: 13:00 – 21:00 | 星期四: 休息 | 星期五: 13:00 – 21:00 | 星期六: 13:00 – 21:00 | 星期日: 13:00 – 21:00,5,台南市,中西區,美容
Mr.饅頭 寵物沙龍,700台灣台南市中西區忠明街52號,06 223 9006,https://www.instagram.com/mrmantou_pet?igsh=MWc0a25hbTlrNm9peA==,3.9,236,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 休息,5,台南市,中西區,美容
舒服寵物美容,700台灣台南市中西區南華街4號,0916 828 172,https://www.facebook.com/%E8%88%92%E6%9C%8D%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-430569253779982/,4.9,31,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 休息 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 21:00,5,台南市,中西區,美容
黛比犬貓專業剪藝＆台南CFA魔顏貓舍（寵物美容預約制）,700台灣台南市中西區金華路四段103號,06 224 8896,https://www.facebook.com/CFA-Mo-Yem-Cattery-%E9%AD%94%E9%A1%8F%E8%B2%93%E8%88%8D%E9%BB%9B%E6%AF%94%E7%8A%AC%E8%B2%93%E5%B0%88%E6%A5%AD%E5%89%AA%E8%97%9D-822162634569100/?ref=bookmarks,4.8,94,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 休息,5,台南市,中西區,美容
Lovemore愛毛兒寵物美容,700台灣台南市中西區臨安路一段209號,0963 502 793,,5,53,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台南市,中西區,美容
伊努寵物spa沙龍,704台灣台南市北區崇安街128號,0936 590 335,https://www.facebook.com/2365999363728383,4.9,33,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台南市,中西區,美容
Just right寵物沙龍-聖巴克禮寵物美容學院-台南大員分校,708台灣台南市安平區建平七街32號2樓,06 298 5218,,4.8,64,星期一: 10:30 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,台南市,中西區,美容
愛醬寵物spa手作坊--台南寵物美容（預約制）,700台灣台南市中西區和善街8號,06 258 8479,https://www.google.com/url?sa=t&source=web&cd=&ved=2ahUKEwjytpbs7878AhXFBt4KHScOA-oQFnoECA4QAQ&url=https%3A%2F%2Fm.facebook.com%2Fpeople%2F%25E6%2584%259B%25E9%2586%25AC%25E5%25AF%25B5%25E7%2589%25A9spa%25E6%2589%258B%25E4%25BD%259C%25E5%259D%258A%2F100079690335090%2F&usg=AOvVaw02DJqUb9xlxry-Qm3dYZuG,5,3,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台南市,中西區,美容
好葆寵物美容,"號, No. 263和緯路四段中西區台南市台灣 700",06 259 3295,https://www.facebook.com/%E5%A5%BD%E8%91%86%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-%E5%8E%9F%E9%98%BF%E5%A6%82%E5%A7%90-1543028632683994/,5,3,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 休息,5,台南市,中西區,美容
謎果王子寵物美容工坊,704台灣台南市北區公園北路80號,06 251 4896,https://zh-tw.facebook.com/meigoprince/,5,146,星期一: 10:30 – 18:00 | 星期二: 休息 | 星期三: 10:30 – 18:00 | 星期四: 10:30 – 18:00 | 星期五: 10:30 – 18:00 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 19:30,5,台南市,中西區,美容
