店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
沐恩寵物美容 Moon pet grooming,811台灣高雄市楠梓區加昌路700巷70號,0981 587 877,https://www.facebook.com/keey1688?mibextid=LQQJ4d,4.9,65,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 09:00 – 18:00 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,5,高雄市,楠梓區,美容
咪嚕咕寵物美容,811台灣高雄市楠梓區德民路356巷60弄19號,0928 763 621,https://www.facebook.com/profile.php?id=100086164696244&mibextid=LQQJ4d,5,54,星期一: 10:30 – 18:30 | 星期二: 10:30 – 18:30 | 星期三: 10:30 – 18:30 | 星期四: 10:30 – 18:30 | 星期五: 10:30 – 18:30 | 星期六: 10:30 – 18:30 | 星期日: 休息,5,高雄市,楠梓區,美容
咪魯寵物沙龍,811台灣高雄市楠梓區德民路655號,0911 198 200,https://lin.ee/bHsdOZu,5,296,星期一: 休息 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,高雄市,楠梓區,美容
百分百寵物生活館 寵物美容 (旗楠店) 獸醫師開的寵物店,811台灣高雄市楠梓區旗楠路106號,07 353 5918,https://pet100percent.simplybook.asia/,4.9,2062,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,5,高雄市,楠梓區,美容
貝貝窩寵物沙龍/狗貓住宿/spa（楠梓）,811台灣高雄市楠梓區大學二十一路237巷6號,07 364 7667,https://m.facebook.com/bellebearhouse/,4.8,72,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 休息 | 星期日: 休息,5,高雄市,楠梓區,美容
SE GAO 寵物美容,811台灣高雄市楠梓區楠裕街102-1號,0906 877 397,https://www.facebook.com/segao11/,4.8,40,星期一: 休息 | 星期二: 11:00 – 19:30 | 星期三: 11:00 – 19:30 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 11:00 – 19:30,5,高雄市,楠梓區,美容
奧丁寵物-高雄楠梓寵物店|左營各式品種犬貓專賣店|橋頭寵物美容|寵物自助洗|寵物用品|寵物愛心捐糧,811台灣高雄市楠梓區大學十街191號,07 365 0008,,4.9,61,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,5,高雄市,楠梓區,美容
懶洋洋寵物沙龍(犬貓住宿、安親官方Line預約制),811台灣高雄市楠梓區大學三十一街173號,0971 235 039,https://www.instagram.com/zxp950434?igsh=MWQ4am1pMjIzZ2QxMg==&utm_source=qr,5,65,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,高雄市,楠梓區,美容
吉弄寵物沙龍 ( 楠梓寵物美容丨毛孩沙龍丨日托安親丨官方Line預約 ),811台灣高雄市楠梓區大學南路993號,0901 360 283,https://www.facebook.com/profile.php?id=61553121102485&mibextid=ZbWKwL,5,25,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,5,高雄市,楠梓區,美容
跑跑跳寵物旅館&寵物美容沙龍&高雄寵物旅館&楠梓寵物旅館,811台灣高雄市楠梓區東昌街23號,0912 722 022,https://lin.ee/bELPdiM,4.8,64,星期一: 10:00 – 18:00 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 16:30,5,高雄市,楠梓區,美容
