店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
鑫鑫動物醫院,400台灣台中市中區臺灣大道一段573號,04 2225 4169,https://www.facebook.com/%E9%91%AB%E9%91%AB%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-172597079420622/,4.7,622,"星期一: 10:00 – 11:30, 14:00 – 16:30, 18:00 – 20:30 | 星期二: 10:00 – 11:30, 14:00 – 16:30, 18:00 – 20:30 | 星期三: 10:00 – 11:30, 14:00 – 16:30, 18:00 – 20:30 | 星期四: 休息 | 星期五: 10:00 – 11:30, 14:00 – 16:30, 18:00 – 20:30 | 星期六: 10:00 – 11:30, 14:00 – 16:30, 18:00 – 20:30 | 星期日: 休息",5,台中市,中區,醫院
陽光動物醫院,403台灣台中市西區中華路一段3-5號,04 2226 2579,https://www.facebook.com/SAHTAICHUNG,4.5,509,"星期一: 09:00 – 11:30, 14:30 – 21:00 | 星期二: 09:00 – 11:30, 14:30 – 21:00 | 星期三: 09:00 – 11:30, 14:30 – 21:00 | 星期四: 09:00 – 11:30, 14:30 – 21:00 | 星期五: 09:00 – 11:30, 14:30 – 21:00 | 星期六: 09:00 – 11:30, 14:30 – 17:00 | 星期日: 休息",5,台中市,中區,醫院
興緣動物醫院,403台灣台中市西區五廊街63號,04 2372 9699,https://facebook.com/%E8%88%88%E7%B7%A3%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-1449270658653276/?locale2=zh_TW,4.4,451,"星期一: 09:00 – 12:00, 14:00 – 20:30 | 星期二: 09:00 – 12:00, 14:00 – 20:30 | 星期三: 09:00 – 12:00, 14:00 – 20:30 | 星期四: 09:00 – 12:00, 14:00 – 20:30 | 星期五: 09:00 – 12:00, 14:00 – 20:30 | 星期六: 09:00 – 12:00, 14:00 – 18:00 | 星期日: 休息",5,台中市,中區,醫院
樂樂復健動物醫院|夜間急診–無夜間加成|復健專科|皮膚專科|一般內外科,404台灣台中市北區中清路一段418號,04 2208 5862,https://www.leleanimalhospital.com/,4.5,171,"星期一: 休息 | 星期二: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00 | 星期三: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00 | 星期四: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00 | 星期五: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00 | 星期六: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00 | 星期日: 10:00 – 13:00, 14:00 – 18:00, 19:00 – 02:00",5,台中市,中區,醫院
全國動物醫院 台中總院,403台灣台中市西區五權八街100號,04 2371 0496,https://www.vet.com.tw/store_detail.php?Key=1,3.9,776,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台中市,中區,醫院
信安動物醫院,404台灣台中市北區健行路638號,04 2205 5045,,4.3,1390,"星期一: 09:00 – 14:00, 15:00 – 22:00 | 星期二: 09:00 – 14:00, 15:00 – 22:00 | 星期三: 09:00 – 14:00, 15:00 – 22:00 | 星期四: 09:00 – 14:00, 15:00 – 22:00 | 星期五: 09:00 – 14:00, 15:00 – 22:00 | 星期六: 09:00 – 14:00, 15:00 – 22:00 | 星期日: 09:00 – 14:00, 15:00 – 22:00",5,台中市,中區,醫院
中心動物醫院,411台灣台中市太平區中山路四段180號,04 2391 9547,,4.9,209,"星期一: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期二: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期三: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期四: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期五: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期六: 10:00 – 12:00, 14:00 – 17:00, 18:00 – 20:00 | 星期日: 休息",5,台中市,中區,醫院
五權動物醫院,404台灣台中市北區五權路390號,04 2201 3909,,4.6,141,星期一: 09:30 – 20:30 | 星期二: 09:30 – 20:30 | 星期三: 09:30 – 20:30 | 星期四: 09:30 – 20:30 | 星期五: 09:30 – 20:30 | 星期六: 休息 | 星期日: 休息,5,台中市,中區,醫院
胖胖動物醫院,402台灣台中市南區國光路58號,04 2229 7899,https://www.facebook.com/PanPanVet/,4.4,404,"星期一: 09:30 – 12:00, 14:30 – 20:00 | 星期二: 09:30 – 12:00, 14:30 – 20:00 | 星期三: 09:30 – 12:00, 14:30 – 20:00 | 星期四: 09:30 – 12:00, 14:30 – 20:00 | 星期五: 09:30 – 12:00, 14:30 – 20:00 | 星期六: 09:30 – 12:00, 14:30 – 20:00 | 星期日: 09:30 – 12:00, 14:30 – 17:00",5,台中市,中區,醫院
傳騏動物醫院(預約制/最後預約時間為19:30)(滿三千可使用信用卡)|微創無痛手術中心|-南屯寵物醫院|台中獸醫推薦|寵物內分泌|動物微創手術|寵物內視鏡|動物醫院推薦,408台灣台中市南屯區永春東七路521號,04 2389 3177,https://www.legendpet.com.tw/,4.9,519,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,5,台中市,中區,醫院
東大動物醫院,401台灣台中市東區信義街45號,04 2220 4161,https://www.facebook.com/DonDaAnimalHospital/,4.6,270,"星期一: 09:00 – 12:00, 13:30 – 18:00, 18:40 – 20:00 | 星期二: 09:00 – 12:00, 13:30 – 18:00, 18:40 – 20:00 | 星期三: 09:00 – 12:00, 13:30 – 18:00, 18:40 – 20:00 | 星期四: 09:00 – 12:00, 13:30 – 18:00, 18:40 – 20:00 | 星期五: 09:00 – 12:00, 13:30 – 18:00, 18:40 – 20:00 | 星期六: 09:00 – 12:00, 13:30 – 17:00 | 星期日: 休息",5,台中市,中區,醫院
高生動物醫院,40247台灣台中市南區信義南街249號,04 2221 1008,https://www.facebook.com/%E9%AB%98%E7%94%9F%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-1945052339133093,4.2,88,"星期一: 10:00 – 12:00, 15:00 – 21:00 | 星期二: 10:00 – 12:00, 15:00 – 21:00 | 星期三: 10:00 – 12:00, 15:00 – 21:00 | 星期四: 10:00 – 12:00, 15:00 – 21:00 | 星期五: 10:00 – 12:00, 15:00 – 21:00 | 星期六: 10:00 – 12:00, 15:00 – 21:00 | 星期日: 休息",5,台中市,中區,醫院
陪伴動物醫院,402台灣台中市南區建成路1793號,04 2266 2216,,4.9,263,"星期一: 09:30 – 12:00, 14:00 – 20:30 | 星期二: 09:30 – 12:00, 14:00 – 20:30 | 星期三: 休息 | 星期四: 09:30 – 12:00, 14:00 – 20:30 | 星期五: 09:30 – 12:00, 14:00 – 20:30 | 星期六: 09:30 – 12:00, 14:00 – 17:30 | 星期日: 09:30 – 12:00, 14:00 – 17:30",5,台中市,中區,醫院
巷內有貓動物醫院（需預約）,404台灣台中市北區英才路319巷23號,04 2201 0502,https://www.facebook.com/catsinalleyah/,4.9,59,"星期一: 09:00 – 12:30, 14:30 – 20:00 | 星期二: 09:00 – 12:30, 14:30 – 20:00 | 星期三: 休息 | 星期四: 09:00 – 12:30, 14:30 – 20:00 | 星期五: 09:00 – 12:30, 14:30 – 20:00 | 星期六: 10:00 – 12:00 | 星期日: 10:00 – 12:00",5,台中市,中區,醫院
沐恩動物醫院,404台灣台中市北區健行路865號,04 2207 7271,https://www.facebook.com/MuEnAHinTaichung,4.7,100,星期一: 17:00 – 22:00 | 星期二: 17:00 – 22:00 | 星期三: 11:00 – 21:00 | 星期四: 17:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 休息,5,台中市,中區,醫院
環亞動物醫院,404台灣台中市北區五權路580號,04 2223 7470,http://www.asiavet.idv.tw/,4.6,82,"星期一: 14:30 – 21:00 | 星期二: 09:00 – 12:00, 14:30 – 21:00 | 星期三: 09:00 – 12:00, 14:30 – 21:00 | 星期四: 09:00 – 12:00, 14:30 – 21:00 | 星期五: 09:00 – 12:00, 14:30 – 21:00 | 星期六: 09:00 – 12:00, 14:30 – 21:00 | 星期日: 09:00 – 12:00",5,台中市,中區,醫院
羅大宇動物醫院～中西整合醫學與微創手術中心,403台灣台中市西區存中街153號,04 2372 8378,https://www.loanimalhospital.com/,4.1,366,"星期一: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期二: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期三: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期四: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期五: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期六: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 21:30 | 星期日: 09:30 – 12:00, 13:00 – 17:00, 18:00 – 22:00",5,台中市,中區,醫院
