店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,類型
大安動物醫院,100台灣台北市中正區新生南路一段162號,02 2358 1199,,4.6,760,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,中正區,醫院
博愛動物醫院,100台灣台北市中正區杭州南路二段92號,02 3393 8850,http://www.poaipets.com.tw/,4.8,962,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 18:00 | 星期日: 休息,5,台北市,中正區,醫院
瀚生動物醫院,100台灣台北市中正區新生南路一段144-1號,02 2358 1765,https://m.facebook.com/pages/%E7%80%9A%E7%94%9F%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/380597015340737,4.9,1116,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 休息 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 17:00 | 星期日: 休息,5,台北市,中正區,醫院
古亭動物醫院,100台灣台北市中正區羅斯福路二段138號,02 2369 3373,http://vets.tw/,4.5,473,"星期一: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期二: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期三: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期四: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期五: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期六: 09:30 – 11:30, 13:30 – 17:00, 18:30 – 21:00 | 星期日: 09:30 – 11:30, 13:30 – 17:00",5,台北市,中正區,醫院
康廷動物醫院,100台灣台北市中正區和平西路二段58-1號1樓,02 2309 5001,https://www.facebook.com/ContainAnimalHospital/,4.5,366,"星期一: 09:30 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期二: 09:30 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期三: 09:30 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期四: 09:30 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期五: 09:30 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期六: 09:30 – 12:00, 13:30 – 18:00 | 星期日: 休息",5,台北市,中正區,醫院
大安動物醫院 公館院|夜間門診至半夜1點半|24小時住院照護|急診請先來電,100台灣台北市中正區羅斯福路四段162號1樓,0966 421 927,https://daan-gongguan.com.tw/,5,127,"星期一: 09:30 – 12:30, 15:00 – 20:30, 21:00 – 01:30 | 星期二: 09:30 – 12:30, 21:00 – 01:30 | 星期三: 09:30 – 12:30, 15:00 – 20:30, 21:00 – 01:30 | 星期四: 09:00 – 12:30, 21:00 – 01:30 | 星期五: 09:30 – 12:30, 15:00 – 20:30, 21:00 – 01:30 | 星期六: 09:30 – 12:30, 15:00 – 20:30, 21:00 – 01:30 | 星期日: 09:30 – 12:30, 15:00 – 20:30, 21:00 – 01:30",5,台北市,中正區,醫院+24h急診
綠洲動物醫院 Oasis Veterinary Hospital（預約制）,100台灣台北市中正區北平東路16號1樓,02 2391 2220,https://www.oasisvets.tw/,4.8,173,"星期一: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期二: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期三: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期四: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期五: 10:00 – 12:00, 13:00 – 17:00, 18:00 – 21:00 | 星期六: 10:00 – 12:00, 13:00 – 18:00 | 星期日: 10:00 – 12:00, 13:00 – 18:00",5,台北市,中正區,醫院
紀劃動物醫院,100台灣台北市中正區和平西路一段150號,02 2521 2205,,4.6,409,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台北市,中正區,醫院
台灣動物醫院,100台灣台北市中正區忠孝東路二段74號,02 2341 2128,https://www.facebook.com/taiwanVH/,4.2,195,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 18:00 | 星期日: 10:00 – 16:00,5,台北市,中正區,醫院
寶寶新動物醫院,100台灣台北市中正區南昌路一段39號,02 2367 7624,https://m.facebook.com/%E5%AF%B6%E5%AF%B6%E6%96%B0%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-%E9%87%9D%E7%81%B8-%E4%B8%AD%E8%97%A5-%E4%B8%AD%E8%A5%BF%E9%86%AB%E7%99%82-646628928811238/,4.6,118,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 13:30 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 休息,5,台北市,中正區,醫院
