店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
友愛動物醫院,700台灣台南市中西區府前路二段66號,06 222 2510,,4.9,204,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 休息,5,台南市,中西區,醫院
廣慈動物醫院,700台灣台南市中西區府前路二段199號,06 228 8126,https://www.facebook.com/%E5%BB%A3%E6%85%88%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2%E5%AE%98%E6%96%B9%E7%89%88-252138148202551/?ref=py_c,4.5,401,"星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 09:00 – 12:00, 15:00 – 17:00 | 星期日: 休息",5,台南市,中西區,醫院
諾亞動物醫院,700台灣台南市中西區成功路297號,06 221 7291,http://www.ky-animal.com.tw/,3.6,406,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 休息,5,台南市,中西區,醫院
勝立動物醫院,700台灣台南市中西區公園路84巷4號1樓,06 222 8318,http://www.facebook.com/SHENGLIAH,4.7,273,"星期一: 09:30 – 12:30, 14:00 – 21:00 | 星期二: 09:30 – 12:30, 14:00 – 21:00 | 星期三: 09:30 – 12:30, 14:00 – 21:00 | 星期四: 09:30 – 12:30, 14:00 – 21:00 | 星期五: 09:30 – 12:30, 14:00 – 18:00 | 星期六: 09:30 – 12:30, 14:00 – 18:00 | 星期日: 休息",5,台南市,中西區,醫院
詹姆斯動物醫院,700台灣台南市中西區南門路179-4號,06 215 7057,https://www.facebook.com/Jamesanimalclinic/,4.7,92,"星期一: 休息 | 星期二: 10:00 – 12:00, 13:30 – 19:30 | 星期三: 10:00 – 12:00, 13:30 – 19:30 | 星期四: 10:00 – 12:00, 13:30 – 19:30 | 星期五: 10:00 – 12:00, 13:30 – 19:30 | 星期六: 10:00 – 12:00, 13:30 – 19:00 | 星期日: 10:00 – 17:30",5,台南市,中西區,醫院
強生動物醫院,700台灣台南市中西區臨安路一段237號,06 358 6008,,4.6,131,"星期一: 09:00 – 13:30, 16:00 – 21:00 | 星期二: 09:00 – 13:30, 16:00 – 21:00 | 星期三: 09:00 – 13:30, 16:00 – 21:00 | 星期四: 09:00 – 13:30, 16:00 – 21:00 | 星期五: 09:00 – 13:30, 16:00 – 21:00 | 星期六: 09:00 – 13:30, 16:00 – 21:00 | 星期日: 休息",5,台南市,中西區,醫院
立安動物醫院,700台灣台南市中西區永華路一段186號,06 228 6538,https://www.facebook.com/%E8%87%BA%E5%8D%97%E7%AB%8B%E5%AE%89%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-401347183387233/,4.2,122,"星期一: 09:30 – 12:00, 15:00 – 21:00 | 星期二: 09:30 – 12:00, 15:00 – 21:00 | 星期三: 09:30 – 12:00, 18:00 – 21:00 | 星期四: 09:30 – 12:00, 15:00 – 21:00 | 星期五: 09:30 – 12:00, 15:00 – 21:00 | 星期六: 09:30 – 12:00, 15:00 – 18:00 | 星期日: 休息",5,台南市,中西區,醫院
亞太動物醫院,700台灣台灣省中西區府前路一段361號,06 214 5884,,4.7,79,"星期一: 09:00 – 13:00, 14:00 – 21:00 | 星期二: 09:00 – 13:00, 14:00 – 21:00 | 星期三: 09:00 – 13:00, 14:00 – 21:00 | 星期四: 09:00 – 13:00, 14:00 – 21:00 | 星期五: 09:00 – 13:00, 14:00 – 21:00 | 星期六: 09:00 – 13:00, 14:00 – 21:00 | 星期日: 休息",5,台南市,中西區,醫院
我的動物醫院,700台灣台南市中西區和緯路五段235號,06 250 1567,http://www.facebook.com/we2501567,4.4,169,星期一: 休息 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 18:00 | 星期日: 休息,5,台南市,中西區,醫院
慈愛動物醫院-台南總院,70245台灣台南市南區西門路一段473號,06 220 3166,https://m.facebook.com/Lkah003,3.1,533,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台南市,中西區,醫院
躍犬動物醫院,708台灣台南市安平區民權路四段523號,06 226 4281,,4.8,117,"星期一: 09:00 – 12:00, 14:00 – 18:30 | 星期二: 09:00 – 12:00, 14:00 – 18:30 | 星期三: 09:00 – 12:00, 14:00 – 18:30 | 星期四: 09:00 – 12:00, 14:00 – 18:30 | 星期五: 09:00 – 12:00, 14:00 – 18:30 | 星期六: 09:00 – 12:00, 14:00 – 16:00 | 星期日: 休息",5,台南市,中西區,醫院
慶華動物醫院,700台灣台南市中西區金華路四段6號,06 223 0440,,4.8,55,星期一: 09:30 – 20:30 | 星期二: 09:30 – 20:30 | 星期三: 09:30 – 20:30 | 星期四: 09:30 – 20:30 | 星期五: 09:30 – 20:30 | 星期六: 09:30 – 17:30 | 星期日: 休息,5,台南市,中西區,醫院
上揚動物醫院,700台灣台南市中西區民族路三段48號,06 224 7536,,4.2,53,"星期一: 10:00 – 12:00, 15:00 – 21:00 | 星期二: 10:00 – 12:00, 15:00 – 21:00 | 星期三: 10:00 – 12:00, 15:00 – 21:00 | 星期四: 10:00 – 12:00, 15:00 – 21:00 | 星期五: 10:00 – 12:00, 15:00 – 21:00 | 星期六: 10:00 – 12:00, 15:00 – 21:00 | 星期日: 休息",5,台南市,中西區,醫院
宏麟動物醫院,702台灣台南市南區美南街20號,06 291 1809,,4.8,75,"星期一: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期二: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期三: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期四: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期五: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期六: 09:00 – 12:00, 13:30 – 17:00, 18:00 – 21:00 | 星期日: 09:00 – 11:30",5,台南市,中西區,醫院
瑞慶動物醫院,700台灣台南市中西區府連路31號,06 214 6651,https://www.facebook.com/pages/%E7%91%9E%E6%85%B6%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/233162600035330,4.5,62,"星期一: 09:30 – 12:00, 15:00 – 20:00 | 星期二: 09:30 – 12:00, 15:00 – 20:00 | 星期三: 09:30 – 12:00, 15:00 – 20:00 | 星期四: 09:30 – 12:00, 15:00 – 20:00 | 星期五: 09:30 – 12:00, 15:00 – 20:00 | 星期六: 09:30 – 12:00, 15:00 – 17:00 | 星期日: 休息",5,台南市,中西區,醫院
豪斯動物醫院,704台灣台南市中西區成功路387號,06 358 1999,,4.2,35,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 17:00,5,台南市,中西區,醫院
中美獸醫院 和緯院 犬貓內科外科|斷層掃描|內視鏡|超音波|X光|牙科|骨科|犬貓美容,704台灣台南市北區和緯路二段231號,06 281 2233,https://www.savh.com.tw/,3.9,467,"星期一: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00 | 星期二: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00 | 星期三: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00 | 星期四: 10:00 – 12:00, 15:00 – 17:00, 18:00 – 22:00 | 星期五: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00 | 星期六: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00 | 星期日: 10:00 – 12:00, 13:30 – 17:00, 18:00 – 22:00",5,台南市,中西區,醫院
酷比動物醫院/犬貓內外科/特殊寵物內外科/南區推薦動物醫院/台南雷射高壓氧治療中心,702007台灣台南市南區夏林路210號,06 263 1058,https://www.coobihospital.com/,4.8,405,"星期一: 休息 | 星期二: 09:30 – 12:30, 15:00 – 21:00 | 星期三: 09:30 – 12:30, 15:00 – 18:00, 18:30 – 21:00 | 星期四: 09:30 – 12:30, 15:00 – 18:00, 18:30 – 21:00 | 星期五: 09:30 – 12:30, 15:00 – 18:00, 18:30 – 21:00 | 星期六: 09:30 – 12:30, 15:00 – 18:00, 18:30 – 21:00 | 星期日: 09:30 – 12:30, 15:00 – 18:00",5,台南市,中西區,醫院
名倫動物醫院,70843台灣台南市安平區育平路208號,06 298 1697,https://www.facebook.com/2010541412605811/,4.9,280,"星期一: 09:00 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期二: 休息 | 星期三: 09:00 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期四: 09:00 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期五: 09:00 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期六: 09:00 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期日: 休息",5,台南市,中西區,醫院
慕光動物醫院《推薦動物醫院》寵物救治｜寵物醫療｜寵物急診｜夜間看診｜專業獸醫｜,702台灣台南市南區西門路一段569號,0905 927 872,https://www.adastra.vet/,4.9,140,星期一: 休息 | 星期二: 20:00 – 01:00 | 星期三: 20:00 – 01:00 | 星期四: 20:00 – 01:00 | 星期五: 21:00 – 01:00 | 星期六: 20:00 – 01:00 | 星期日: 20:00 – 01:00,5,台南市,中西區,醫院
暖心動物醫院（預約優先制）貓友善醫院認證金牌|犬貓中西整合治療|針灸|中藥|四級雷射,704台灣台南市北區北成路28號,06 251 8892,https://www.facebook.com/heartwarminganimalhospital?mibextid=ZbWKwL,4.9,120,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,5,台南市,中西區,醫院
紅琍動物醫院,701台灣台南市東區府連路190-1號,06 213 0010,,4.6,98,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 14:00,5,台南市,中西區,醫院
