店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
沐愛動物醫院,220台灣新北市板橋區國光路166號,02 2960 2233,https://www.facebook.com/vetwithlove/,4.7,735,星期一: 13:00 – 20:40 | 星期二: 13:00 – 20:40 | 星期三: 13:00 – 20:40 | 星期四: 13:00 – 20:40 | 星期五: 13:00 – 20:40 | 星期六: 13:00 – 20:40 | 星期日: 13:00 – 17:40,5,新北市,板橋區,醫院
中信動物醫院,220台灣新北市板橋區信義路188號,02 2957 3534,https://www.facebook.com/profile.php?id=100063788148223,4.7,725,"星期一: 10:00 – 12:00, 15:00 – 17:30, 19:00 – 21:00 | 星期二: 10:00 – 12:00, 15:00 – 17:30, 19:00 – 21:00 | 星期三: 10:00 – 12:00, 15:00 – 17:30, 19:00 – 21:00 | 星期四: 10:00 – 12:00, 15:00 – 17:30, 19:00 – 21:00 | 星期五: 10:00 – 12:00, 15:00 – 17:30, 19:00 – 21:00 | 星期六: 09:30 – 12:00, 14:00 – 17:30 | 星期日: 休息",5,新北市,板橋區,醫院
橙芯動物醫院《推薦動物醫院》板橋寵物醫療｜專業動物醫院｜超音波｜結紮｜內視鏡｜寵物健檢｜動物雷射復健,220056台灣新北市板橋區貴興路100號,02 7713 6617,https://www.facebook.com/SINCERITY.AH/,4.6,333,"星期一: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期二: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期三: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期四: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期五: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期六: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30 | 星期日: 10:00 – 12:00, 14:00 – 17:00, 19:00 – 21:30",5,新北市,板橋區,醫院
躍生動物醫院,220台灣新北市板橋區民權路258-2號,02 8968 1075,https://www.facebook.com/profile.php?id=100092724853763&mibextid=LQQJ4d,4.8,456,"星期一: 09:30 – 13:30, 14:30 – 18:30 | 星期二: 09:30 – 13:30, 14:30 – 20:00 | 星期三: 09:30 – 13:30, 14:30 – 18:30 | 星期四: 09:30 – 13:30, 14:30 – 20:00 | 星期五: 09:30 – 13:30, 14:30 – 18:30 | 星期六: 休息 | 星期日: 09:30 – 13:30, 14:30 – 20:00",5,新北市,板橋區,醫院
吉恩動物醫院（預約制）,220台灣新北市板橋區華江一路622號,02 2257 9596,https://www.jinnvet.com.tw/,4.9,296,"星期一: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30 | 星期二: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30 | 星期三: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30 | 星期四: 休息 | 星期五: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30 | 星期六: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30 | 星期日: 10:00 – 12:30, 13:30 – 17:00, 18:00 – 20:30",5,新北市,板橋區,醫院
板橋維納斯動物醫院（全預約制，務必請事先電話聯繫）,"請先, 電話聯繫，請勿直接到現場, No. 105號中山路一段板橋區新北市台灣 220",02 2964 9250,,4.1,208,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,新北市,板橋區,醫院
板新動物醫院。犬、貓、鼠、兔。門診預約制。,220台灣新北市板橋區中正路332-11號,02 2969 5866,https://www.facebook.com/%E6%9D%BF%E6%96%B0%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2-104167987625185/?modal=admin_todo_tour,4.3,289,"星期一: 10:00 – 11:30, 14:00 – 20:30 | 星期二: 10:00 – 11:30, 14:00 – 20:30 | 星期三: 休息 | 星期四: 10:00 – 11:30, 14:00 – 20:30 | 星期五: 10:00 – 11:30, 14:00 – 20:30 | 星期六: 休息 | 星期日: 10:00 – 11:30, 14:00 – 20:30",5,新北市,板橋區,醫院
中心動物醫院,220台灣新北市板橋區新海路30號,02 2258 3540,,4.7,231,"星期一: 09:30 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期二: 09:30 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期三: 09:30 – 12:00, 15:00 – 18:00 | 星期四: 09:30 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期五: 09:30 – 12:00, 15:00 – 18:00, 19:00 – 21:00 | 星期六: 09:30 – 12:00, 15:00 – 18:00 | 星期日: 休息",5,新北市,板橋區,醫院
台大文仁動物醫院 骨科 內視鏡,220台灣新北市板橋區篤行路三段18號,02 2683 3122,http://www.wellknown-pet.com.tw/index.html,4,420,"星期一: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00 | 星期二: 休息 | 星期三: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00 | 星期四: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00 | 星期五: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00 | 星期六: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00 | 星期日: 10:00 – 12:00, 14:00 – 16:30, 18:00 – 21:00",5,新北市,板橋區,醫院
紐約紐約動物醫院 內視鏡 微創手術 骨科 高壓氧中心,22047台灣新北市板橋區文化路二段139號,02 2250 1636,https://www.facebook.com/nynypetservice/,4.3,320,"星期一: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期二: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期三: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期四: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期五: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期六: 09:45 – 12:00, 14:00 – 17:00, 18:00 – 20:50 | 星期日: 休息",5,新北市,板橋區,醫院
