店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
卡布動物醫院,330台灣桃園市桃園區文中二路121號1樓,03 369 5005,https://www.facebook.com/KabuAnimalHospital,4.9,134,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 休息,5,桃園市,桃園區,醫院
元氣動物醫院三民總院24HR急診重症中心,330台灣桃園市桃園區三民路三段381號,03 333 3816,http://www.genkivet.com.tw/,4.1,1046,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,桃園市,桃園區,醫院+24h急診
普羅動物醫院《推薦動物醫院》桃園區犬貓復健針灸,330台灣桃園市桃園區泰成路15號,03 378 9900,https://www.facebook.com/provet99/,4.4,879,"星期一: 09:30 – 12:30, 15:30 – 20:30 | 星期二: 09:30 – 12:30, 15:30 – 20:30 | 星期三: 09:30 – 12:30, 15:30 – 20:30 | 星期四: 09:30 – 12:30, 15:30 – 20:30 | 星期五: 09:30 – 12:30, 15:30 – 20:30 | 星期六: 09:30 – 12:30, 15:30 – 20:30 | 星期日: 休息",5,桃園市,桃園區,醫院
新橋動物醫院,33059台灣桃園市桃園區永安路434號,03 333 2233,https://www.facebook.com/newbridgeanimalhospital/,4.6,91,"星期一: 10:00 – 14:00, 17:00 – 23:00 | 星期二: 10:00 – 14:00, 17:00 – 23:00 | 星期三: 10:00 – 14:00, 17:00 – 23:00 | 星期四: 10:00 – 14:00, 17:00 – 23:00 | 星期五: 10:00 – 14:00, 17:00 – 23:00 | 星期六: 10:00 – 14:00, 17:00 – 23:00 | 星期日: 休息",5,桃園市,桃園區,醫院
安欣動物醫院,330台灣桃园市桃園區中福街60號1樓,03 336 7775,http://www.icreatepet.com.tw/,4.7,413,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 13:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 休息,5,桃園市,桃園區,醫院
逗號動物醫院（桃園院區）,330台灣桃園市桃園區中山路517號,03 332 2212,https://www.doghouse.tw/,4.5,552,"星期一: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期二: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期三: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期四: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期五: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期六: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期日: 09:00 – 13:00, 14:00 – 17:00, 18:00 – 22:00",5,桃園市,桃園區,醫院
廣喬動物醫院,330台灣桃園市桃園區大興西路二段261號1樓,03 341 1700,https://m.facebook.com/tw.a2pet/?locale2=zh_HK,4.8,561,"星期一: 10:00 – 12:30, 14:00 – 17:00, 17:40 – 19:30 | 星期二: 休息 | 星期三: 10:00 – 12:30, 14:00 – 17:00, 17:40 – 19:30 | 星期四: 10:00 – 12:30, 14:00 – 17:00, 17:40 – 19:30 | 星期五: 10:00 – 12:30, 14:00 – 17:00, 17:40 – 19:30 | 星期六: 10:00 – 12:30, 14:00 – 17:00, 17:40 – 19:30 | 星期日: 休息",5,桃園市,桃園區,醫院
愛心動物醫院,330台灣桃園市桃園區中寧街23號,03 358 5827,,4.7,49,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 休息,5,桃園市,桃園區,醫院
青山動物醫院,330台灣台灣省桃園區桃園市春日路229號,03 333 3600,,4.9,73,"星期一: 10:00 – 16:00, 18:00 – 21:00 | 星期二: 10:00 – 16:00, 18:00 – 21:00 | 星期三: 10:00 – 16:00, 18:00 – 21:00 | 星期四: 10:00 – 16:00, 18:00 – 21:00 | 星期五: 10:00 – 16:00, 18:00 – 21:00 | 星期六: 10:00 – 16:00, 18:00 – 21:00 | 星期日: 休息",5,桃園市,桃園區,醫院
寶貝屋動物醫院,330台灣桃園市桃園區泰昌三街154號,03 220 1051,,4.2,34,,5,桃園市,桃園區,醫院
大台北動物醫院《推薦動物醫院》桃園區寵物預防針｜寵物看牙｜心臟超音波｜健檢｜骨科｜專業獸醫,330台灣桃園市桃園區永安路854號,03 301 7158,http://www.dataipeivet.com.tw/,4.3,288,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,桃園市,桃園區,醫院
