店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,分類
佑康動物醫院,811台灣高雄市楠梓區楠梓路71號,07 354 0645,https://www.facebook.com/pages/%E4%BD%91%E5%BA%B7%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/216811425012676,4.7,485,"星期一: 09:30 – 12:00, 13:30 – 21:30 | 星期二: 09:30 – 12:00, 13:30 – 21:30 | 星期三: 09:30 – 12:00, 13:30 – 21:30 | 星期四: 09:30 – 12:00, 13:30 – 21:30 | 星期五: 09:30 – 12:00, 13:30 – 21:30 | 星期六: 09:30 – 12:00, 13:30 – 21:30 | 星期日: 休息",5,高雄市,楠梓區,醫院
清豐動物醫院,811台灣高雄市楠梓區鳳楠路259號,07 353 5711,,4.6,282,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 18:00,5,高雄市,楠梓區,醫院
底佳動物醫院,811台灣高雄市楠梓區德賢路220巷31號,07 365 8891,,4.6,246,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 休息 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 17:00,5,高雄市,楠梓區,醫院
聯盟動物醫院(旗楠院),811台灣高雄市楠梓區旗楠路106號,07 353 5918,https://www.pet100pa.com/hospital_detail/85,4.7,271,"星期一: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00 | 星期二: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00 | 星期三: 10:00 – 12:30, 17:30 – 21:00 | 星期四: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00 | 星期五: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00 | 星期六: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00 | 星期日: 10:00 – 12:30, 14:30 – 17:00, 17:30 – 21:00",5,高雄市,楠梓區,醫院
莒光動物醫院 - 高雄 楠梓 動物醫院推薦 犬貓門診內科首選 囓齒類 鼠 兔小動物門診好評 專業外科 皮膚科 骨科 牙科 婦科 寵物泌尿科 預防針注射 晶片登記 血液檢查 病毒快篩 全身健檢 結紥 洗 拔 補牙 腫瘤切除 高壓氧 超音波 皮膚治療,811台灣高雄市楠梓區隆昌里加昌路849號,07 364 0207,https://zh-tw.facebook.com/juguang.ah/,3.9,295,"星期一: 08:30 – 11:30, 13:30 – 20:30 | 星期二: 08:30 – 11:30, 13:30 – 20:30 | 星期三: 08:30 – 11:30, 13:30 – 20:30 | 星期四: 08:30 – 11:30, 13:30 – 20:30 | 星期五: 08:30 – 11:30, 13:30 – 20:30 | 星期六: 08:30 – 11:30, 13:30 – 20:30 | 星期日: 08:30 – 11:30, 13:30 – 20:30",5,高雄市,楠梓區,醫院
十銓動物醫院,811009台灣高雄市楠梓區右昌街787號,07 311 3797,https://zh-tw.facebook.com/pages/%E5%8D%81%E9%8A%93%E5%8B%95%E7%89%A9%E9%86%AB%E9%99%A2/359041214178252,4.8,67,"星期一: 09:00 – 12:00, 14:30 – 20:30 | 星期二: 09:00 – 12:00, 14:30 – 20:30 | 星期三: 09:00 – 12:00, 14:30 – 20:30 | 星期四: 09:00 – 12:00, 14:30 – 20:30 | 星期五: 09:00 – 12:00, 14:30 – 20:30 | 星期六: 09:00 – 12:00, 14:30 – 20:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
寵愛動物醫院,811台灣高雄市楠梓區後勁西路236號,07 366 1333,https://www.facebook.com/petloves911/?ref=bookmarks,4.6,138,"星期一: 09:00 – 12:00, 14:00 – 21:00 | 星期二: 09:00 – 12:00, 14:00 – 21:00 | 星期三: 09:00 – 12:00, 14:00 – 21:00 | 星期四: 09:00 – 12:00, 14:00 – 21:00 | 星期五: 09:00 – 12:00, 14:00 – 21:00 | 星期六: 09:00 – 12:00, 14:00 – 21:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
永欣動物醫院,811台灣高雄市楠梓區軍校路724號,07 360 8778,https://lin.ee/NDwUe1j,4.6,132,"星期一: 09:30 – 12:00, 14:00 – 20:00 | 星期二: 09:30 – 12:00, 14:00 – 20:00 | 星期三: 09:30 – 12:00, 14:00 – 17:00 | 星期四: 09:30 – 12:00, 14:00 – 20:00 | 星期五: 09:30 – 12:00, 14:00 – 20:00 | 星期六: 09:30 – 12:00, 14:00 – 17:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
楠梓德民動物醫院-犬貓獸醫 心臟科/神經內科/腫瘤科/腎臟科 寵物洗腎透析 寵物中獸醫針灸 專業評價好評推薦 PTT Dcard,811台灣高雄市楠梓區軍校路710-1號,07 364 2642,https://page.line.me/oae0435l,4.2,160,"星期一: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期二: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期三: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期四: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期五: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期六: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00 | 星期日: 09:00 – 12:30, 14:00 – 17:00, 18:00 – 21:00",5,高雄市,楠梓區,醫院
文心動物醫院,811台灣高雄市楠梓區惠民路153號,07 361 1990,http://www.facebook.com/vetwensin,4.4,198,"星期一: 09:00 – 12:00, 14:30 – 21:00 | 星期二: 09:00 – 12:00, 14:30 – 21:00 | 星期三: 09:00 – 12:00, 14:30 – 21:00 | 星期四: 09:00 – 12:00, 14:30 – 21:00 | 星期五: 09:00 – 12:00, 14:30 – 21:00 | 星期六: 09:00 – 12:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
勇翔動物醫院,811台灣高雄市楠梓區常德路308號,07 351 4242,,4.6,72,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,5,高雄市,楠梓區,醫院
佳醫動物醫院,811台灣高雄市楠梓區德民路970號,07 363 0080,,3.7,114,"星期一: 09:00 – 12:00, 15:00 – 21:00 | 星期二: 09:00 – 12:00, 15:00 – 21:00 | 星期三: 09:00 – 12:00, 15:00 – 21:00 | 星期四: 09:00 – 12:00, 15:00 – 21:00 | 星期五: 09:00 – 12:00, 15:00 – 21:00 | 星期六: 09:00 – 18:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
偉源動物醫院,811台灣高雄市楠梓區後昌路1048號,07 364 9336,,4.5,67,"星期一: 09:00 – 11:30, 14:00 – 19:00 | 星期二: 09:00 – 11:30, 14:00 – 19:00 | 星期三: 09:00 – 11:30, 14:00 – 19:00 | 星期四: 09:00 – 11:30, 14:00 – 19:00 | 星期五: 09:00 – 11:30, 14:00 – 19:00 | 星期六: 09:00 – 11:30, 14:00 – 19:00 | 星期日: 休息",5,高雄市,楠梓區,醫院
信鴿南聯動物醫院,811台灣楠梓區興楠路355巷82弄,07 354 2797,,5,41,,5,高雄市,楠梓區,醫院
梅西動物醫療中心,813台灣高雄市左營區文府路498號,07 345 2541,http://www.jsah.com.tw/,4.5,1695,"星期一: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期二: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期三: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期四: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期五: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期六: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00 | 星期日: 09:30 – 12:30, 14:00 – 17:30, 18:30 – 21:30, 21:31 – 02:00",2,高雄市,楠梓區,醫院
祈癒動物醫院,814台灣高雄市仁武區京吉六路90號,07 375 2082,https://4c70b895cbb8.godaddysites.com/,5,37,"星期一: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期二: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期三: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期四: 休息 | 星期五: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期六: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00 | 星期日: 09:30 – 13:00, 14:00 – 17:00, 18:00 – 22:00",5,高雄市,楠梓區,醫院
愛思動物醫院-高雄動物眼科|動物心臟病|結紮洗牙|左營動物內科|動物醫院推薦|獸醫推薦|專業動物醫院,81368台灣高雄市左營區民族一路965號1樓,07 310 8803,https://www.acevh.com/,5,91,"星期一: 09:00 – 12:30, 14:00 – 17:30, 18:30 – 21:00 | 星期二: 09:00 – 12:30, 14:00 – 17:30, 18:30 – 21:00 | 星期三: 休息 | 星期四: 09:00 – 12:30, 14:00 – 17:30, 18:30 – 21:00 | 星期五: 09:00 – 12:30, 14:00 – 17:30, 18:30 – 21:00 | 星期六: 09:00 – 12:30, 14:00 – 17:30 | 星期日: 休息",5,高雄市,楠梓區,醫院
波可動物醫院,813台灣高雄市左營區自由四路367號,07 349 5560,https://pokeah.com/,4.7,175,"星期一: 休息 | 星期二: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00 | 星期三: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00 | 星期四: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00 | 星期五: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00 | 星期六: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00 | 星期日: 09:30 – 12:30, 14:00 – 18:00, 19:00 – 21:00",5,高雄市,楠梓區,醫院
