店名,地址,電話,網站,評分,評分數量,營業時間,城市,區域
新北市 板橋 澎澎寵物旅館,22052台灣新北市板橋區新生街29巷15弄2號1樓,0926 876 651,https://m.facebook.com/pongpong168/,4.9,374,星期一: 11:00 – 20:30 | 星期二: 11:00 – 20:30 | 星期三: 11:00 – 20:30 | 星期四: 11:00 – 20:30 | 星期五: 11:00 – 20:30 | 星期六: 11:00 – 20:30 | 星期日: 11:00 – 20:30,新北市,板橋區
Tiere堤柇 寵物住宿/寵物SPA,220台灣新北市板橋區文聖街194號1F,02 2250 1377,https://zh-tw.facebook.com/tiere.pethotel/,4.6,252,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,新北市,板橋區
毛起來住寵物旅館 新北市板橋狗貓住宿,220台灣新北市板橋區富山街89號,0919 330 540,http://www.m769hotel.com/,4.9,290,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,新北市,板橋區
星空貓旅,220台灣新北市板橋區長江路一段136巷10號,0900 615 571,https://m.facebook.com/starhousecat/,5,50,星期一: 09:30 – 22:00 | 星期二: 09:30 – 22:00 | 星期三: 09:30 – 22:00 | 星期四: 09:30 – 22:00 | 星期五: 09:30 – 22:30 | 星期六: 09:30 – 22:00 | 星期日: 09:30 – 22:00,新北市,板橋區
貓肥家貓咪旅館 / 板橋新埔,220台灣新北市板橋區文化路二段45號,02 2250 2567,https://www.catfathotel.com/,4.9,264,星期一: 13:00 – 20:30 | 星期二: 13:00 – 20:30 | 星期三: 13:00 – 20:30 | 星期四: 13:00 – 20:30 | 星期五: 13:00 – 20:30 | 星期六: 13:00 – 20:30 | 星期日: 13:00 – 20:30,新北市,板橋區
板橋享沐寵物美容旅館PET SPA HOTEL(鄰近新埔捷運站),220台灣新北市板橋區光武街40號,02 2258 8338,https://www.enjoybath.com.tw//,4.9,84,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,新北市,板橋區
熊讚寵物精緻旅館,220台灣新北市板橋區館前西路120號2樓,0919 631 066,,4.8,60,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,新北市,板橋區
PIG HOUSE豬窩貓狗美容旅館-板橋店,220台灣新北市板橋區民生路三段108號,02 2258 0761,https://www.pighousedogcat.com.tw/,4.6,205,星期一: 10:30 – 20:30 | 星期二: 10:30 – 20:30 | 星期三: 10:30 – 20:30 | 星期四: 10:30 – 20:30 | 星期五: 10:30 – 20:30 | 星期六: 10:30 – 20:30 | 星期日: 10:30 – 20:30,新北市,板橋區
貓星球貓咪旅館 Line id:@515qujrd（幼貓寵物店）,220台灣新北市板橋區重慶路346巷5號,02 2956 0416,https://www.facebook.com/CatsPetHotel/,4.8,126,星期一: 09:00 – 22:00 | 星期二: 09:00 – 22:00 | 星期三: 09:00 – 22:00 | 星期四: 09:00 – 22:00 | 星期五: 09:00 – 22:00 | 星期六: 09:00 – 22:00 | 星期日: 09:00 – 22:00,新北市,板橋區
狗勾寓所 |板橋寵物旅館| 寵物安親| 寵物美容| dogsretreat |,220台灣新北市板橋區合宜路131號,02 2968 6722,https://www.dogsretreat.com.tw/,5,66,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,新北市,板橋區
Neko house 享窩窩貓旅工作室,"1f No. 10號, 長江路一段136巷板橋區新北市台灣 220",0963 477 721,http://starhousecat.com/,5,347,星期一: 08:30 – 22:30 | 星期二: 08:30 – 22:30 | 星期三: 08:30 – 22:30 | 星期四: 08:30 – 22:30 | 星期五: 08:30 – 22:30 | 星期六: 08:30 – 22:30 | 星期日: 08:30 – 22:30,新北市,板橋區
MaAh喵品行旅 貓安親｜住宿(預約制) 板橋貓旅館,220台灣新北市板橋區合宜路217號面公園G棟,0900 281 261,https://maahhotel.com.tw/,4.9,31,星期一: 11:30 – 19:30 | 星期二: 11:30 – 19:30 | 星期三: 11:30 – 19:30 | 星期四: 11:30 – 19:30 | 星期五: 11:30 – 19:30 | 星期六: 11:30 – 19:30 | 星期日: 11:30 – 19:30,新北市,板橋區
喵毛屋貓咪旅館 新北頂級純貓住宿推薦|獨立空間 景觀別墅 房間型|高cp寄宿 專業照顧|近捷運新埔 民生站,220台灣新北市板橋區民生路三段178號1樓,02 6604 3999,http://meowmao.com/,5,18,星期一: 12:00 – 20:00 | 星期二: 12:00 – 20:00 | 星期三: 12:00 – 20:00 | 星期四: 12:00 – 20:00 | 星期五: 12:00 – 20:00 | 星期六: 12:00 – 20:00 | 星期日: 12:00 – 20:00,新北市,板橋區
窩在一起 寵物旅館,220台灣新北市板橋區長江路2段217巷2弄2號1樓,0919 211 063,https://staytogetherpethotel.com/,5,4,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,新北市,板橋區
朵貓貓旅館,220台灣新北市板橋區金門街372巷28號1樓,02 2685 2325,https://www.facebook.com/%E6%9C%B5%E8%B2%93%E8%B2%93%E6%97%85%E9%A4%A8-Domomo-Cat-Hotel-1940478429590958/,4.9,117,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,新北市,板橋區
Go house寵物旅館,220台灣新北市板橋區仁化街42巷5弄1號,,https://lin.ee/i65aA6p,5,7,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,新北市,板橋區
回家·貓旅館,220台灣新北市板橋區松柏街1巷13號,02 2255 0011,https://www.facebook.com/miaohome/,4.9,88,星期一: 13:00 – 20:00 | 星期二: 13:00 – 20:00 | 星期三: 13:00 – 20:00 | 星期四: 13:00 – 20:00 | 星期五: 13:00 – 20:00 | 星期六: 13:00 – 20:00 | 星期日: 13:00 – 20:00,新北市,板橋區
喜多寵物美容住宿旅館,220台灣新北市板橋區板新路133號,02 2962 6885,,4.8,106,星期一: 11:30 – 22:30 | 星期二: 11:30 – 22:30 | 星期三: 休息 | 星期四: 11:30 – 22:30 | 星期五: 11:30 – 22:30 | 星期六: 11:30 – 22:30 | 星期日: 11:30 – 22:30,新北市,板橋區
樂豪寵物貓舍&住宿&美容,220台灣新北市板橋區中正路348號,02 8965 1685,http://lehaocathouse.com/,5,65,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 休息 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,新北市,板橋區
星貝貝寵物旅館,220台灣新北市板橋區莊敬路228號,02 2259 0079,,5,9,星期一: 09:00 – 19:00 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 休息,新北市,板橋區
毛寓所寵物美容旅店,220100台灣新北市板橋區溪北路30號,02 2683 4899,https://www.maoshower.com/,4.9,180,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,新北市,板橋區
巴帝寵物旅店 BUDDY dog hotel & salon,220台灣新北市板橋區文化路一段136巷10號,,https://www.facebook.com/BUDDY.TAIPEI/,4.4,55,星期一: 09:30 – 21:00 | 星期二: 09:30 – 21:00 | 星期三: 09:30 – 21:00 | 星期四: 09:30 – 21:00 | 星期五: 09:30 – 21:00 | 星期六: 09:30 – 21:00 | 星期日: 09:30 – 21:00,新北市,板橋區
約伯行旅（貓咪旅館）,220台灣新北市板橋區民族路129巷12弄15號,02 8951 7770,,5,26,星期一: 10:00 – 17:00 | 星期二: 10:00 – 17:00 | 星期三: 10:00 – 17:00 | 星期四: 10:00 – 17:00 | 星期五: 10:00 – 17:00 | 星期六: 休息 | 星期日: 休息,新北市,板橋區
雅筑與鼯寶用品專賣店/非犬貓用品旅館(+line預約:@lkl4725u)蜜袋鼯寄宿/乾糧/食譜/奶粉（寄宿區冷暖氣機24h使用）,220台灣新北市板橋區成都街83號一樓,0989 929 432,https://nana0989929432.gogoshopapp.com/,5,591,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 12:00 – 13:00 | 星期日: 12:00 – 13:00,新北市,板橋區
毛小愛寵物保姆/過年有空/不關籠寄宿/到府服務/寵物貓狗到府美容,220台灣新北市板橋區莒光路78巷17號,,https://liff.line.me/1645278921-kWRPP32q/?accountId=fluv.tw,5,16,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,新北市,板橋區
糖果屋貓咪旅館,220台灣新北市板橋區大觀路二段7巷24號,0985 988 562,http://candy7813.blogspot.com/,4.6,32,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,新北市,板橋區
樂牧寵物旅館,242台灣新北市新莊區建興街20號,0981 668 107,https://www.facebook.com/lovemu668107,5,135,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 11:00 – 21:00 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 11:00 – 21:00 | 星期日: 11:00 – 21:00,新北市,板橋區
貓咚貓旅館-板橋貓旅館,220台灣新北市板橋區文化路二段441巷29號,02 2250 7083,,4.9,14,,新北市,板橋區
Pet 伴寵物旅舍,235台灣新北市中和區員山路483號,02 2228 6909,https://www.facebook.com/pg/Pet-%E4%BC%B4-%E5%AF%B5%E7%89%A9%E6%97%85%E8%88%8D-%E6%96%B0%E5%8C%97%E7%89%B9%E5%AF%B5584%E8%99%9F-1901709803430302/about/?ref=page_internal,4.8,32,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,新北市,板橋區
茶比寵物旅館 〔 中和寵物住宿 〕,235台灣新北市中和區景平路559號,02 8245 2232,https://www.facebook.com/chubbypethotel?mibextid=LQQJ4d,4.9,81,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,新北市,板橋區
Bunny兔旅宿,220台灣新北市板橋區民生路三段30號,0903 041 736,,,,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,新北市,板橋區
Amazing Dog 好狗狗｜寵物訓練｜寵物旅館,235024台灣新北市中和區中原街106號,02 8221 1683,https://instagram.com/amazingdog.training.hotel?igshid=YTQwZjQ0NmI0OA==,4.9,62,星期一: 09:00 – 20:00 | 星期二: 09:00 – 20:00 | 星期三: 09:00 – 20:00 | 星期四: 09:00 – 20:00 | 星期五: 09:00 – 20:00 | 星期六: 09:00 – 20:00 | 星期日: 09:00 – 20:00,新北市,板橋區
宅貓寓所貓旅館,235台灣新北市中和區中山路三段20號1樓,0939 999 560,https://www.home-cat-home.com.tw/,5,101,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,新北市,板橋區
Dora朵菈寵物旅館,24250台灣新北市新莊區思源路166巷41號,02 2279 9891,https://www.facebook.com/dora.pets.life,4.9,26,星期一: 11:00 – 21:00 | 星期二: 11:00 – 21:00 | 星期三: 休息 | 星期四: 11:00 – 21:00 | 星期五: 11:00 – 21:00 | 星期六: 休息 | 星期日: 11:00 – 21:00,新北市,板橋區
捲尾巴寵物旅宿/新北寵物旅館/永和寵物旅館/狗旅館/狗狗安親/狗狗過夜,234009台灣新北市永和區永平路300號,,https://www.facebook.com/petpawshotel/,4.7,41,星期一: 休息 | 星期二: 09:30 – 20:00 | 星期三: 09:30 – 20:00 | 星期四: 09:30 – 20:00 | 星期五: 09:30 – 20:00 | 星期六: 09:30 – 20:00 | 星期日: 09:30 – 20:00,新北市,板橋區
